window,task,model,n_samples,positive_rate,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc
6h,mortality,XGBoost (MedCAT),74829,0.11933875903727165,0.5282938618048582,0.006348623925351353,0.1306833409776055,0.0046654845020679524,0.5162324381288536,0.1289618402766745
6h,mortality,LogisticRegression (MedCAT),74829,0.11933875903727165,0.5285061504859445,0.0061107458946904405,0.12970608000621558,0.0037212556817490545,0.5161809128056282,0.12940218853664545
6h,prolonged_los,XGBoost (MedCAT),74829,0.1616351949110639,0.5264779434413801,0.00273570114042047,0.1768801522116406,0.0017799959066314751,0.527339309821028,0.17890670390915725
6h,prolonged_los,LogisticRegression (MedCAT),74829,0.1616351949110639,0.5263918658859944,0.0027118271096308235,0.17690151827900577,0.002602582479377885,0.5272380784237475,0.1783170300577589
12h,mortality,XGBoost (MedCAT),74829,0.11933875903727165,0.5430002926139585,0.006896457215839471,0.13967500984383122,0.004055251433794709,0.5299695551125441,0.13577872161771876
12h,mortality,LogisticRegression (MedCAT),74829,0.11933875903727165,0.5433908513350048,0.006844788309706677,0.13735630373116514,0.0037472882348897492,0.5298593129856113,0.13472655666666697
12h,prolonged_los,XGBoost (MedCAT),74829,0.1616351949110639,0.539015354210744,0.005146341424634041,0.18404342912478672,0.0032535018226384385,0.5350750354769155,0.1847421335721823
12h,prolonged_los,LogisticRegression (MedCAT),74829,0.1616351949110639,0.5386997705885459,0.005024126438700196,0.18403430049082609,0.0040927913177025,0.5341145135625095,0.18184362504670376
24h,mortality,XGBoost (MedCAT),74829,0.11933875903727165,0.5566214086059699,0.00628407332494758,0.1483702313054704,0.0038634597359585173,0.5520798231451507,0.1509089227831414
24h,mortality,LogisticRegression (MedCAT),74829,0.11933875903727165,0.5573604183855188,0.005869016165085677,0.14655280649988922,0.0033413723942172925,0.551939384972331,0.15007412088940106
24h,prolonged_los,XGBoost (MedCAT),74829,0.1616351949110639,0.5552788992338018,0.004743025178520785,0.19775882222719468,0.004096306753173878,0.5495251809152678,0.19456233248807617
24h,prolonged_los,LogisticRegression (MedCAT),74829,0.1616351949110639,0.5553415556856155,0.004753637825151439,0.19655372428201076,0.004244518061283162,0.5490531544763728,0.1922298079828476
D0,mortality,XGBoost (MedCAT),74829,0.11933875903727165,0.5349964632794173,0.006341590054290618,0.13641558920951555,0.0037150243982131486,0.5231040203113559,0.13379059082479103
D0,mortality,LogisticRegression (MedCAT),74829,0.11933875903727165,0.5355435159394561,0.00579907509514046,0.13450805649640202,0.0025841485689860866,0.5230154343472381,0.1333462822671812
D0,prolonged_los,XGBoost (MedCAT),74829,0.1616351949110639,0.5279998978203153,0.0030521724865535753,0.17934859262227146,0.0016286685202539309,0.5278922311364509,0.18174029884484458
D0,prolonged_los,LogisticRegression (MedCAT),74829,0.1616351949110639,0.5283816377132864,0.003097866586354933,0.17932336313187736,0.0030187308045832076,0.5274521436707189,0.18022909497533007
