task,modality,model,window,text_method,mean_auroc,std_auroc,n_samples,positive_rate,file
aki_progression,fusion,xgb,W12,original,0.875970,0.003729,190706,0.206108,aki_progression_fusion_xgb_W12_original.json
aki_progression,fusion,xgb,W24,original,0.870915,0.004199,190706,0.206108,aki_progression_fusion_xgb_W24_original.json
aki_progression,fusion,xgb,W6,original,0.874995,0.004675,190706,0.206108,aki_progression_fusion_xgb_W6_original.json
aki_progression,fusion,xgb,clean,weighted_no_after,0.871355,0.004184,190706,0.206108,aki_progression_fusion_xgb_clean_weighted_no_after.json
aki_progression,fusion,xgb,leaked,original,0.917634,0.003771,190706,0.206108,aki_progression_fusion_xgb_leaked_original.json
aki_progression,fusion,xgb,leaked,weighted_no_after,0.917234,0.003568,190706,0.206108,aki_progression_fusion_xgb_leaked_weighted_no_after.json
aki_progression,structured,xgb,W24,none,0.873746,0.004572,190706,0.206108,aki_progression_structured_xgb_W24_none.json
aki_progression,structured,xgb,leaked,none,0.919543,0.004223,190706,0.206108,aki_progression_structured_xgb_leaked_none.json
aki_progression,text_only,lr,W24,original,0.712821,0.009818,190706,0.206108,aki_progression_text_only_lr_W24_original.json
aki_progression,text_only,lr,clean,weighted_no_after,0.712925,0.009877,190706,0.206108,aki_progression_text_only_lr_clean_weighted_no_after.json
aki_progression,text_only,lr,leaked,original,0.712821,0.009818,190706,0.206108,aki_progression_text_only_lr_leaked_original.json
sepsis_shock,fusion,xgb,W12,original,0.942961,0.003517,297567,0.025120,sepsis_shock_fusion_xgb_W12_original.json
sepsis_shock,fusion,xgb,W24,original,0.944612,0.005758,297567,0.025120,sepsis_shock_fusion_xgb_W24_original.json
sepsis_shock,fusion,xgb,W6,original,0.939282,0.003205,297567,0.025120,sepsis_shock_fusion_xgb_W6_original.json
sepsis_shock,fusion,xgb,clean,weighted_no_after,0.944572,0.004766,297567,0.025120,sepsis_shock_fusion_xgb_clean_weighted_no_after.json
sepsis_shock,fusion,xgb,leaked,original,0.984521,0.000250,297567,0.025120,sepsis_shock_fusion_xgb_leaked_original.json
sepsis_shock,fusion,xgb,leaked,weighted_no_after,0.984445,0.000370,297567,0.025120,sepsis_shock_fusion_xgb_leaked_weighted_no_after.json
sepsis_shock,structured,xgb,W24,none,0.946399,0.004698,297567,0.025120,sepsis_shock_structured_xgb_W24_none.json
sepsis_shock,structured,xgb,leaked,none,0.984894,0.000577,297567,0.025120,sepsis_shock_structured_xgb_leaked_none.json
sepsis_shock,text_only,lr,W24,original,0.771936,0.010631,297567,0.025120,sepsis_shock_text_only_lr_W24_original.json
sepsis_shock,text_only,lr,clean,weighted_no_after,0.772059,0.010673,297567,0.025120,sepsis_shock_text_only_lr_clean_weighted_no_after.json
sepsis_shock,text_only,lr,leaked,original,0.771936,0.010631,297567,0.025120,sepsis_shock_text_only_lr_leaked_original.json
