window,task,cohort,model,n_samples,n_test,ece,mce,brier_score,positive_rate,mean_predicted_prob,n_bins
6h,mortality,all,XGBoost,15036,15036,0.006985514819419868,0.08983480930328369,0.08943766055543866,0.12350359138068635,0.11706036329269409,10
6h,mortality,all,LogisticRegression,15036,15036,0.010040188667747635,0.21508185515458278,0.09296230075370418,0.12350359138068635,0.11950030494454433,10
6h,mortality,sepsis,XGBoost,6831,6831,0.00815959688580904,0.10112595558166504,0.12671995096267083,0.1825501390718782,0.17683838307857513,10
6h,mortality,sepsis,LogisticRegression,6831,6831,0.01447638032199724,0.28994151835588666,0.12837362398997776,0.1825501390718782,0.18118073602541857,10
6h,mortality,aki,XGBoost,11581,11581,0.013572453493930318,0.12535174403871807,0.10660133113217178,0.1440290130385977,0.14049401879310608,10
6h,mortality,aki,LogisticRegression,11581,11581,0.009806456022277293,0.2507160754795088,0.10904371977179488,0.1440290130385977,0.14387956814003158,10
6h,prolonged_los,all,XGBoost,15036,15036,0.013843141155266407,0.09338521957397461,0.2227560067001429,0.48443735035913804,0.4779810309410095,10
6h,prolonged_los,all,LogisticRegression,15036,15036,0.012588678702744561,0.15998266219827706,0.22994122321312285,0.48443735035913804,0.47916665443972173,10
6h,prolonged_los,sepsis,XGBoost,6831,6831,0.009879140412104175,0.06874086459477746,0.2124494327869805,0.6045966915532133,0.6055086851119995,10
6h,prolonged_los,sepsis,LogisticRegression,6831,6831,0.01398027621497544,0.08438272612478137,0.21947644998204444,0.6045966915532133,0.6027356394181996,10
6h,prolonged_los,aki,XGBoost,11581,11581,0.012232730651332064,0.421980082988739,0.22396404150783258,0.563768241084535,0.5644527673721313,10
6h,prolonged_los,aki,LogisticRegression,11581,11581,0.014496625093578042,0.8272844489425787,0.23012728491142667,0.563768241084535,0.5621450502716621,10
12h,mortality,all,XGBoost,15036,15036,0.01098257138156715,0.11122468170130029,0.08590690246522173,0.12350359138068635,0.11656051874160767,10
12h,mortality,all,LogisticRegression,15036,15036,0.0073072198544793816,0.16999687191981927,0.089180963904308,0.12350359138068635,0.11995884765677768,10
12h,mortality,sepsis,XGBoost,6831,6831,0.011489023197763506,0.0948909732011648,0.1210203119888613,0.1825501390718782,0.18003059923648834,10
12h,mortality,sepsis,LogisticRegression,6831,6831,0.013833958899579852,0.19912529328356288,0.12324714531914756,0.1825501390718782,0.18280005785000933,10
12h,mortality,aki,XGBoost,11581,11581,0.012054429057811523,0.11408638954162598,0.10154128626402133,0.1440290130385977,0.1408168375492096,10
12h,mortality,aki,LogisticRegression,11581,11581,0.009761552311352293,0.24700292453894768,0.10525365766597827,0.1440290130385977,0.1455342704934088,10
12h,prolonged_los,all,XGBoost,15036,15036,0.007638360510190515,0.023164829026758316,0.21101249311119108,0.48443735035913804,0.48009225726127625,10
12h,prolonged_los,all,LogisticRegression,15036,15036,0.011935385402136086,0.12557174840673657,0.21906167946154834,0.48443735035913804,0.4790879651477852,10
12h,prolonged_los,sepsis,XGBoost,6831,6831,0.019611709161255687,0.086772121489048,0.20142489816733347,0.6045966915532133,0.6103944778442383,10
12h,prolonged_los,sepsis,LogisticRegression,6831,6831,0.019420259083129936,0.1268789491681862,0.20991835849831428,0.6045966915532133,0.6052017675153188,10
12h,prolonged_los,aki,XGBoost,11581,11581,0.011699676351548888,0.09450335800647736,0.21335952644102624,0.563768241084535,0.5652977824211121,10
12h,prolonged_los,aki,LogisticRegression,11581,11581,0.009142260269193823,0.27638524489898875,0.22264991710881407,0.563768241084535,0.5643558584805477,10
