window,task,cohort,model,n_samples,n_test,ece,mce,brier_score,hl_statistic,hl_p_value,hl_groups,hl_df,positive_rate,mean_predicted_prob,n_bins
24h,mortality,all,Structured_XGBoost,15036,15036,0.19741156756115794,0.3835256221200257,0.13273505020549362,4219.213475780217,0.0,10,8,0.12350359138068635,0.3209151589418443,10
24h,mortality,all,TextOnly_XGBoost,15036,15036,0.006172042407871737,0.28436894308437,0.09645980802919137,10.908372075788405,0.20694521514444383,10,8,0.12350359138068635,0.11929077762559846,10
24h,mortality,all,LateFusion_XGBoost,15036,15036,0.18128161705585824,0.3487428401602984,0.12337947464671963,3343.9051079830247,0.0,10,8,0.12350359138068635,0.3047852084365446,10
24h,mortality,all,EarlyFusion_XGBoost,15036,15036,0.006630307211472545,0.047793566575510205,0.07699555449804138,25.83638114820481,0.0011201844031496868,10,8,0.12350359138068635,0.11752871806483474,10
24h,mortality,all,Structured_XGBoost_ClinicalBERT,15033,15033,0.1972477635777773,0.387389035809119,0.13274598417619618,4218.337676693832,0.0,10,8,0.12352823787667132,0.3207760014544486,10
24h,mortality,all,TextOnly_XGBoost_ClinicalBERT,15033,15033,0.008936596638029011,0.08319433778524399,0.08810684956333124,18.896029838630703,0.015425679247196854,10,8,0.12352823787667132,0.11734152883572503,10
24h,mortality,all,TextOnly_LogisticRegression_ClinicalBERT,15002,15002,0.00959629720369745,0.18281687796115875,0.08608541428779545,27.118031281545996,0.0006745593407081046,10,8,0.12305025996533796,0.11968783499511411,10
24h,mortality,all,LateFusion_XGBoost_ClinicalBERT,15033,15033,0.10783659018530051,0.20163346155528472,0.09147764337073885,1354.3018817268621,4.294510399281128e-287,10,8,0.12352823787667132,0.23126483350221025,10
24h,mortality,all,EarlyFusion_XGBoost_ClinicalBERT,15033,15033,0.008643463960721964,0.052047737331011756,0.07395408113158437,27.964683133105883,0.0004810105937545794,10,8,0.12352823787667132,0.11572451357720004,10
24h,mortality,all,TextOnly_LogisticRegression_MedCAT,15036,15036,0.006022053416277669,0.16947094866742024,0.10729977456671798,8.23847343704063,0.41052896822038226,10,8,0.12350359138068635,0.11856498910309289,10
24h,mortality,all,TextOnly_XGBoost_MedCAT,15036,15036,0.0073712625176340805,0.6449168026447296,0.10725820556052852,12.593717292505067,0.12661417310615214,10,8,0.12350359138068635,0.11861885412060758,10
24h,prolonged_los,all,Structured_XGBoost,15036,15036,0.22036666134964494,0.33050883227027145,0.16582775496143481,4184.7044871252,0.0,10,8,0.16420590582601755,0.3845725671756625,10
24h,prolonged_los,all,TextOnly_XGBoost,15036,15036,0.009039347873476414,0.23773804306983948,0.12759870902509257,13.097643017746464,0.10853389208025337,10,8,0.16420590582601755,0.16027066541728385,10
24h,prolonged_los,all,LateFusion_XGBoost,15036,15036,0.1755062809979692,0.24086834183899855,0.14374371571766903,2504.7818422453006,0.0,10,8,0.16420590582601755,0.3397121868239868,10
24h,prolonged_los,all,EarlyFusion_XGBoost,15036,15036,0.013474803082239832,0.1174111391107241,0.10936475726439299,38.69975478027868,5.587612849636487e-06,10,8,0.16420590582601755,0.15893385457172896,10
24h,prolonged_los,all,Structured_XGBoost_ClinicalBERT,15033,15033,0.21929167761052135,0.3273312775623662,0.16545071450424884,4169.637583979231,0.0,10,8,0.1642386749151866,0.38353035252570794,10
24h,prolonged_los,all,TextOnly_XGBoost_ClinicalBERT,15033,15033,0.010832404354641124,0.12333454324467341,0.11276993402439695,26.569122222192853,0.0008388226058972223,10,8,0.1642386749151866,0.1586045940762658,10
24h,prolonged_los,all,TextOnly_LogisticRegression_ClinicalBERT,15002,15002,0.01087633208146573,0.18712108475821354,0.11164719527844504,19.5266309581862,0.012283288222994631,10,8,0.16111185175309958,0.16132845590400358,10
24h,prolonged_los,all,LateFusion_XGBoost_ClinicalBERT,15033,15033,0.10729831360524111,0.14451552659111097,0.11803247208432141,1143.6996368200994,1.3955790808930585e-241,10,8,0.1642386749151866,0.27106747330098685,10
24h,prolonged_los,all,EarlyFusion_XGBoost_ClinicalBERT,15033,15033,0.013542804713078754,0.05055601456141107,0.10450032158311125,31.24865430649044,0.00012688135115222733,10,8,0.1642386749151866,0.1577812998560495,10
24h,prolonged_los,all,TextOnly_LogisticRegression_MedCAT,15036,15036,0.005261684013184149,0.7030441459902784,0.13605257118415054,5.870226339965344,0.661765814577713,10,8,0.16420590582601755,0.16134851315485363,10
24h,prolonged_los,all,TextOnly_XGBoost_MedCAT,15036,15036,0.004914377613107625,0.32721656560897827,0.13583649570254597,7.663716742986583,0.4669890333287894,10,8,0.16420590582601755,0.16142486751547327,10
