window,task,cohort,model,n_samples,n_test,ece,mce,brier_score,positive_rate,mean_predicted_prob,n_bins,hl_statistic,hl_p_value,hl_groups,hl_df
6h,mortality,all,XGBoost,15036,15036,0.007602458685462,0.4246541261672973,0.0893423083781621,0.1235035913806863,0.1164264753460884,10,,,,
6h,mortality,all,LogisticRegression,15036,15036,0.0102382189516635,0.2032951979564274,0.0929798642966563,0.1235035913806863,0.1192676375940708,10,,,,
6h,mortality,sepsis,XGBoost,6831,6831,0.009370453088555,0.1734848221143087,0.1275122046530117,0.1825501390718782,0.1787524670362472,10,,,,
6h,mortality,sepsis,LogisticRegression,6831,6831,0.0152287628501245,0.28551150558906,0.1281700060818605,0.1825501390718782,0.181632098455893,10,,,,
6h,mortality,aki,XGBoost,11581,11581,0.0106893751669574,0.1635679602622985,0.1064300144009974,0.1440290130385977,0.1406810283660888,10,,,,
6h,mortality,aki,LogisticRegression,11581,11581,0.007771369873474,0.1783026894145497,0.1084651977938552,0.1440290130385977,0.143949328402725,10,,,,
6h,prolonged_los,all,XGBoost,15036,15036,0.0145281986612157,0.1479938194669526,0.1246425650538111,0.1642059058260175,0.1586885303258896,10,,,,
6h,prolonged_los,all,LogisticRegression,15036,15036,0.0131703169571663,0.4852494221148558,0.1286007311884562,0.1642059058260175,0.1609768630056052,10,,,,
6h,prolonged_los,sepsis,XGBoost,6831,6831,0.0156479190984314,0.1481625529435964,0.1732863023541449,0.2563314302444737,0.2573639750480652,10,,,,
6h,prolonged_los,sepsis,LogisticRegression,6831,6831,0.0098071527738048,0.952050853476792,0.1775565174976626,0.2563314302444737,0.2605768470297954,10,,,,
6h,prolonged_los,aki,XGBoost,11581,11581,0.0068114241370418,0.1459089120229085,0.1484446226986539,0.205077281754598,0.2021741420030594,10,,,,
6h,prolonged_los,aki,LogisticRegression,11581,11581,0.0064656395267986,0.342456570757283,0.1525001435202346,0.205077281754598,0.2047283983470347,10,,,,
12h,mortality,all,XGBoost,15036,15036,0.0093830307352476,0.0457605678459693,0.0850594139427183,0.1235035913806863,0.1165031865239143,10,,,,
12h,mortality,all,LogisticRegression,15036,15036,0.0070576862696978,0.1525776533147508,0.0889802656349219,0.1235035913806863,0.1202313250686428,10,,,,
12h,mortality,sepsis,XGBoost,6831,6831,0.0112833067209789,0.053781585259871,0.1199401987036453,0.1825501390718782,0.1781752258539199,10,,,,
12h,mortality,sepsis,LogisticRegression,6831,6831,0.0106828422287396,0.1647480209449797,0.1228228870860496,0.1825501390718782,0.1839375580251635,10,,,,
12h,mortality,aki,XGBoost,11581,11581,0.010848681500421,0.0811154770128654,0.1008643629034298,0.1440290130385977,0.1397236287593841,10,,,,
12h,mortality,aki,LogisticRegression,11581,11581,0.0088863212213233,0.2565976196445055,0.1045525219230077,0.1440290130385977,0.1453140800983284,10,,,,
12h,prolonged_los,all,XGBoost,15036,15036,0.0114472671668361,0.1725485935443784,0.1183812480764227,0.1642059058260175,0.1593084186315536,10,,,,
12h,prolonged_los,all,LogisticRegression,15036,15036,0.0135390170165094,0.1930747227713141,0.1231642802866056,0.1642059058260175,0.1618452393950621,10,,,,
12h,prolonged_los,sepsis,XGBoost,6831,6831,0.0180545233428923,0.0695676735391332,0.1668469173058252,0.2563314302444737,0.2603741288185119,10,,,,
12h,prolonged_los,sepsis,LogisticRegression,6831,6831,0.0087893336138143,0.2635263585164871,0.1720717016273224,0.2563314302444737,0.2637329508951329,10,,,,
12h,prolonged_los,aki,XGBoost,11581,11581,0.0079401517154206,0.3394403457641601,0.1424913823209287,0.205077281754598,0.2024206966161728,10,,,,
12h,prolonged_los,aki,LogisticRegression,11581,11581,0.0065261193738326,0.244096501592766,0.1467343441126541,0.205077281754598,0.2061302067643014,10,,,,
24h,mortality,all,XGBoost,15036,15036,0.0075793363100418,0.0449577549229497,0.0787448381950187,0.1235035913806863,0.1168645247817039,10,,,,
24h,mortality,all,LogisticRegression,15036,15036,0.0083215891250136,0.0793355771506428,0.0822502640301322,0.1235035913806863,0.1203278248194247,10,,,,
24h,mortality,sepsis,XGBoost,6831,6831,0.0115782277209485,0.0820394735182484,0.1129793575581784,0.1825501390718782,0.1788138896226883,10,,,,
24h,mortality,sepsis,LogisticRegression,6831,6831,0.0122368994541177,0.1595750241070118,0.1163918952320255,0.1825501390718782,0.1842133350185391,10,,,,
24h,mortality,aki,XGBoost,11581,11581,0.0108867922517783,0.0515475755042218,0.0921519100141255,0.1440290130385977,0.1398251205682754,10,,,,
24h,mortality,aki,LogisticRegression,11581,11581,0.0068467815567234,0.1017319610162678,0.0963756079794038,0.1440290130385977,0.1455889583814921,10,,,,
24h,prolonged_los,all,XGBoost,15036,15036,0.0112022768590132,0.1432742005900332,0.1104595772666871,0.1642059058260175,0.1581196635961532,10,,,,
24h,prolonged_los,all,LogisticRegression,15036,15036,0.0153335647735491,0.2992701775568156,0.1157175500715775,0.1642059058260175,0.1611671681339749,10,,,,
24h,prolonged_los,sepsis,XGBoost,6831,6831,0.0152314752956562,0.0796654259980614,0.1569970431331197,0.2563314302444737,0.2588779926300049,10,,,,
24h,prolonged_los,sepsis,LogisticRegression,6831,6831,0.0145419704560226,0.1882107685845774,0.1637003988349427,0.2563314302444737,0.2611383475184397,10,,,,
24h,prolonged_los,aki,XGBoost,11581,11581,0.0094817525668343,0.1334978818893433,0.134312039659238,0.205077281754598,0.2000569105148315,10,,,,
24h,prolonged_los,aki,LogisticRegression,11581,11581,0.0093735952916846,0.3183119395306696,0.1396902849018062,0.205077281754598,0.2039590560332466,10,,,,
24h,mortality,all,ClinicalGRU,15036,15036,0.0335560643143137,0.242631196975708,0.0870741456747055,0.1235035881400108,0.1124395653605461,10,,,,
24h,mortality,sepsis,ClinicalGRU,6875,6875,0.05887110827511,0.2668584585189819,0.1275281757116317,0.1831272691488266,0.1621401458978653,10,,,,
24h,mortality,aki,ClinicalGRU,11526,11526,0.0421411274199774,0.2347530126571655,0.1036465317010879,0.1492278277873993,0.1329347789287567,10,,,,
24h,mortality,sepsis,TextOnly_XGBoost,6875,6875,0.0329142688458616,0.160777727762858,0.1366253275967604,0.1831272727272727,0.1530132740736007,10,,,,
24h,mortality,aki,TextOnly_XGBoost,11526,11526,0.0200933505417871,0.1140922727408232,0.1140722318491812,0.1492278327260107,0.1304306983947754,10,,,,
24h,mortality,sepsis,EarlyFusion_XGBoost,6875,6875,0.018832920454307,0.0514447689056396,0.1135198462836474,0.1831272727272727,0.1676152348518371,10,,,,
24h,mortality,aki,EarlyFusion_XGBoost,11526,11526,0.0115308725449146,0.0322012266046122,0.0925036912753782,0.1492278327260107,0.1376969665288925,10,,,,
24h,mortality,all,Structured_XGBoost,15036,15036,0.19741156756115794,0.3835256221200257,0.13273505020549362,0.12350359138068635,0.3209151589418443,10,4219.213475780217,0.0,10.0,8.0
24h,mortality,all,TextOnly_XGBoost,15036,15036,0.006172042407871737,0.28436894308437,0.09645980802919137,0.12350359138068635,0.11929077762559846,10,10.908372075788405,0.20694521514444383,10.0,8.0
24h,mortality,all,LateFusion_XGBoost,15036,15036,0.18128161705585824,0.3487428401602984,0.12337947464671963,0.12350359138068635,0.3047852084365446,10,3343.9051079830247,0.0,10.0,8.0
24h,mortality,all,EarlyFusion_XGBoost,15036,15036,0.006630307211472545,0.047793566575510205,0.07699555449804138,0.12350359138068635,0.11752871806483474,10,25.83638114820481,0.0011201844031496868,10.0,8.0
24h,mortality,all,Structured_XGBoost_ClinicalBERT,15033,15033,0.1972477635777773,0.387389035809119,0.13274598417619618,0.12352823787667132,0.3207760014544486,10,4218.337676693832,0.0,10.0,8.0
24h,mortality,all,TextOnly_XGBoost_ClinicalBERT,15033,15033,0.008936596638029011,0.08319433778524399,0.08810684956333124,0.12352823787667132,0.11734152883572503,10,18.896029838630703,0.015425679247196854,10.0,8.0
24h,mortality,all,TextOnly_LogisticRegression_ClinicalBERT,15002,15002,0.00959629720369745,0.18281687796115875,0.08608541428779545,0.12305025996533796,0.11968783499511411,10,27.118031281545996,0.0006745593407081046,10.0,8.0
24h,mortality,all,LateFusion_XGBoost_ClinicalBERT,15033,15033,0.10783659018530051,0.20163346155528472,0.09147764337073885,0.12352823787667132,0.23126483350221025,10,1354.3018817268621,4.294510399281128e-287,10.0,8.0
24h,mortality,all,EarlyFusion_XGBoost_ClinicalBERT,15033,15033,0.008643463960721964,0.052047737331011756,0.07395408113158437,0.12352823787667132,0.11572451357720004,10,27.964683133105883,0.0004810105937545794,10.0,8.0
24h,mortality,all,TextOnly_LogisticRegression_MedCAT,15036,15036,0.006022053416277669,0.16947094866742024,0.10729977456671798,0.12350359138068635,0.11856498910309289,10,8.23847343704063,0.41052896822038226,10.0,8.0
24h,mortality,all,TextOnly_XGBoost_MedCAT,15036,15036,0.0073712625176340805,0.6449168026447296,0.10725820556052852,0.12350359138068635,0.11861885412060758,10,12.593717292505067,0.12661417310615214,10.0,8.0
24h,prolonged_los,all,Structured_XGBoost,15036,15036,0.22036666134964494,0.33050883227027145,0.16582775496143481,0.16420590582601755,0.3845725671756625,10,4184.7044871252,0.0,10.0,8.0
24h,prolonged_los,all,TextOnly_XGBoost,15036,15036,0.009039347873476414,0.23773804306983948,0.12759870902509257,0.16420590582601755,0.16027066541728385,10,13.097643017746464,0.10853389208025337,10.0,8.0
24h,prolonged_los,all,LateFusion_XGBoost,15036,15036,0.1755062809979692,0.24086834183899855,0.14374371571766903,0.16420590582601755,0.3397121868239868,10,2504.7818422453006,0.0,10.0,8.0
24h,prolonged_los,all,EarlyFusion_XGBoost,15036,15036,0.013474803082239832,0.1174111391107241,0.10936475726439299,0.16420590582601755,0.15893385457172896,10,38.69975478027868,5.587612849636487e-06,10.0,8.0
24h,prolonged_los,all,Structured_XGBoost_ClinicalBERT,15033,15033,0.21929167761052135,0.3273312775623662,0.16545071450424884,0.1642386749151866,0.38353035252570794,10,4169.637583979231,0.0,10.0,8.0
24h,prolonged_los,all,TextOnly_XGBoost_ClinicalBERT,15033,15033,0.010832404354641124,0.12333454324467341,0.11276993402439695,0.1642386749151866,0.1586045940762658,10,26.569122222192853,0.0008388226058972223,10.0,8.0
24h,prolonged_los,all,TextOnly_LogisticRegression_ClinicalBERT,15002,15002,0.01087633208146573,0.18712108475821354,0.11164719527844504,0.16111185175309958,0.16132845590400358,10,19.5266309581862,0.012283288222994631,10.0,8.0
24h,prolonged_los,all,LateFusion_XGBoost_ClinicalBERT,15033,15033,0.10729831360524111,0.14451552659111097,0.11803247208432141,0.1642386749151866,0.27106747330098685,10,1143.6996368200994,1.3955790808930585e-241,10.0,8.0
24h,prolonged_los,all,EarlyFusion_XGBoost_ClinicalBERT,15033,15033,0.013542804713078754,0.05055601456141107,0.10450032158311125,0.1642386749151866,0.1577812998560495,10,31.24865430649044,0.00012688135115222733,10.0,8.0
24h,prolonged_los,all,TextOnly_LogisticRegression_MedCAT,15036,15036,0.005261684013184149,0.7030441459902784,0.13605257118415054,0.16420590582601755,0.16134851315485363,10,5.870226339965344,0.661765814577713,10.0,8.0
24h,prolonged_los,all,TextOnly_XGBoost_MedCAT,15036,15036,0.004914377613107625,0.32721656560897827,0.13583649570254597,0.16420590582601755,0.16142486751547327,10,7.663716742986583,0.4669890333287894,10.0,8.0
