condition,fold,model,auroc,auprc,n_train,n_test,mortality_rate
aki,0,LogisticRegression,0.8064926854037803,0.4471829101871014,45682,11581,0.1440290130385977
aki,0,GradientBoosting,0.8180333167139244,0.4674932138057995,45682,11581,0.1440290130385977
aki,1,LogisticRegression,0.8068121359431871,0.43987395929854406,45739,11524,0.14317945157931275
aki,1,GradientBoosting,0.8181243670245089,0.46800062465836184,45739,11524,0.14317945157931275
aki,2,LogisticRegression,0.8079968209989979,0.45304147532789907,45868,11395,0.14304519526107942
aki,2,GradientBoosting,0.8186181397818048,0.4805769133772103,45868,11395,0.14304519526107942
aki,3,LogisticRegression,0.8128492804948049,0.4688585765261342,45714,11549,0.14815135509567928
aki,3,GradientBoosting,0.8209986586916106,0.489211308834195,45714,11549,0.14815135509567928
aki,4,LogisticRegression,0.8137776038135154,0.4634936271007887,45871,11392,0.1484375
aki,4,GradientBoosting,0.8222834361848606,0.48696428658009416,45871,11392,0.1484375
