condition,fold,model,auroc,auprc,n_train,n_test,mortality_rate
ards,0,LogisticRegression,0.673264114211551,0.6107533914037557,663,159,0.42138364779874216
ards,0,GradientBoosting,0.6941920830629461,0.6468580083301071,663,159,0.42138364779874216
ards,1,LogisticRegression,0.7282051282051282,0.6303581852734197,664,158,0.41139240506329117
ards,1,GradientBoosting,0.6542597187758479,0.5396349670513798,664,158,0.41139240506329117
ards,2,LogisticRegression,0.6402708678828082,0.5455380110544277,647,175,0.38285714285714284
ards,2,GradientBoosting,0.671779988944168,0.5627744274876565,647,175,0.38285714285714284
ards,3,LogisticRegression,0.5996721311475409,0.5038561439782673,661,161,0.37888198757763975
ards,3,GradientBoosting,0.670655737704918,0.530973849422241,661,161,0.37888198757763975
ards,4,LogisticRegression,0.6872022864401397,0.5758848495333255,661,161,0.4161490683229814
ards,4,GradientBoosting,0.6876786281359162,0.6073955443990748,661,161,0.4161490683229814
