condition,fold,model,auroc,auprc,n_train,n_test,mortality_rate
sepsis,0,LogisticRegression,0.8016850757003053,0.5042641469637771,27321,6831,0.1825501390718782
sepsis,0,GradientBoosting,0.8101443464314355,0.5322041967954593,27321,6831,0.1825501390718782
sepsis,1,LogisticRegression,0.7843261411532596,0.4708555268761086,27288,6864,0.180506993006993
sepsis,1,GradientBoosting,0.8065553941350552,0.5087812412032623,27288,6864,0.180506993006993
sepsis,2,LogisticRegression,0.8034623783944319,0.49892270902626445,27255,6897,0.1906626069305495
sepsis,2,GradientBoosting,0.8133207907546391,0.5275771921661404,27255,6897,0.1906626069305495
sepsis,3,LogisticRegression,0.7830439919104544,0.4628355653959949,27352,6800,0.1839705882352941
sepsis,3,GradientBoosting,0.7983862684586518,0.4975329751133144,27352,6800,0.1839705882352941
sepsis,4,LogisticRegression,0.7923402743759733,0.4731859314540995,27317,6835,0.170592538405267
sepsis,4,GradientBoosting,0.8058791955406113,0.5007178396328977,27317,6835,0.170592538405267
aki,0,LogisticRegression,0.8064926854037803,0.4471829101871014,45682,11581,0.1440290130385977
aki,0,GradientBoosting,0.8180333167139244,0.4674932138057995,45682,11581,0.1440290130385977
aki,1,LogisticRegression,0.8068121359431871,0.43987395929854406,45739,11524,0.14317945157931275
aki,1,GradientBoosting,0.8181243670245089,0.46800062465836184,45739,11524,0.14317945157931275
aki,2,LogisticRegression,0.8079968209989979,0.45304147532789907,45868,11395,0.14304519526107942
aki,2,GradientBoosting,0.8186181397818048,0.4805769133772103,45868,11395,0.14304519526107942
aki,3,LogisticRegression,0.8128492804948049,0.4688585765261342,45714,11549,0.14815135509567928
aki,3,GradientBoosting,0.8209986586916106,0.489211308834195,45714,11549,0.14815135509567928
aki,4,LogisticRegression,0.8137776038135154,0.4634936271007887,45871,11392,0.1484375
aki,4,GradientBoosting,0.8222834361848606,0.48696428658009416,45871,11392,0.1484375
ards,0,LogisticRegression,0.673264114211551,0.6107533914037557,663,159,0.42138364779874216
ards,0,GradientBoosting,0.6941920830629461,0.6468580083301071,663,159,0.42138364779874216
ards,1,LogisticRegression,0.7282051282051282,0.6303581852734197,664,158,0.41139240506329117
ards,1,GradientBoosting,0.6542597187758479,0.5396349670513798,664,158,0.41139240506329117
ards,2,LogisticRegression,0.6402708678828082,0.5455380110544277,647,175,0.38285714285714284
ards,2,GradientBoosting,0.671779988944168,0.5627744274876565,647,175,0.38285714285714284
ards,3,LogisticRegression,0.5996721311475409,0.5038561439782673,661,161,0.37888198757763975
ards,3,GradientBoosting,0.670655737704918,0.530973849422241,661,161,0.37888198757763975
ards,4,LogisticRegression,0.6872022864401397,0.5758848495333255,661,161,0.4161490683229814
ards,4,GradientBoosting,0.6876786281359162,0.6073955443990748,661,161,0.4161490683229814
