condition,fold,model,auroc,auprc,n_train,n_test,mortality_rate
sepsis,0,LogisticRegression,0.8016850757003053,0.5042641469637771,27321,6831,0.1825501390718782
sepsis,0,GradientBoosting,0.8101443464314355,0.5322041967954593,27321,6831,0.1825501390718782
sepsis,1,LogisticRegression,0.7843261411532596,0.4708555268761086,27288,6864,0.180506993006993
sepsis,1,GradientBoosting,0.8065553941350552,0.5087812412032623,27288,6864,0.180506993006993
sepsis,2,LogisticRegression,0.8034623783944319,0.49892270902626445,27255,6897,0.1906626069305495
sepsis,2,GradientBoosting,0.8133207907546391,0.5275771921661404,27255,6897,0.1906626069305495
sepsis,3,LogisticRegression,0.7830439919104544,0.4628355653959949,27352,6800,0.1839705882352941
sepsis,3,GradientBoosting,0.7983862684586518,0.4975329751133144,27352,6800,0.1839705882352941
sepsis,4,LogisticRegression,0.7923402743759733,0.4731859314540995,27317,6835,0.170592538405267
sepsis,4,GradientBoosting,0.8058791955406113,0.5007178396328977,27317,6835,0.170592538405267
