task_id,condition,branch,model,fold,train_rows,val_rows,val_positive_rate,auroc,auprc,n_features
AKI-S1,aki,A,xgboost,1,1411551,353332,0.009883056162476,0.978809301123158,0.3783265780094315,384
AKI-S1,aki,A,xgboost,2,1409221,355662,0.0097733241110942,0.9726092390131726,0.3661997789287649,384
AKI-S1,aki,A,xgboost,3,1414839,350044,0.0101272982825016,0.9780440330494932,0.3680772932413193,384
AKI-S1,aki,A,xgboost,4,1410509,354374,0.0096677521488596,0.9788454256043216,0.3735328982254853,384
AKI-S1,aki,A,xgboost,5,1413412,351471,0.0095712021759974,0.9778038293110684,0.3762444117308871,384
AKI-T1,aki,A,xgboost,1,553127,138886,0.0820385064009331,0.9441332721632124,0.5997444153088988,384
AKI-T1,aki,A,xgboost,2,553518,138495,0.0863280262825372,0.9388737430496774,0.5965411995285093,384
AKI-T1,aki,A,xgboost,3,553290,138723,0.0848957995429741,0.9392967209301256,0.5819761326164693,384
AKI-T1,aki,A,xgboost,4,552546,139467,0.0847942524037944,0.9401108896352028,0.5961023522390174,384
AKI-T1,aki,A,xgboost,5,555571,136442,0.084966505914601,0.9407196008710552,0.6009571495855119,384
DEL-S1,delirium,A,xgboost,1,606509,149742,0.2194374323836999,0.9222813239622436,0.7127618754633802,384
DEL-S1,delirium,A,xgboost,2,605082,151169,0.2203361800369123,0.917866063203071,0.7016339262006849,384
DEL-S1,delirium,A,xgboost,3,606152,150099,0.21928194058588,0.9187294446770402,0.7011295818140679,384
DEL-S1,delirium,A,xgboost,4,601865,154386,0.2114440428536266,0.9143134625591628,0.6834362444239038,384
DEL-S1,delirium,A,xgboost,5,605396,150855,0.231255178814093,0.9178531815224782,0.7121801501252728,384
DEL-T1,delirium,A,xgboost,1,603100,153151,0.2162506284647178,0.9158345315973552,0.6973853675653234,384
DEL-T1,delirium,A,xgboost,2,605555,150696,0.2066610925306577,0.9193196787457762,0.6910847392813384,384
DEL-T1,delirium,A,xgboost,3,603173,153078,0.2109055514182312,0.9142446922763712,0.6866292363633718,384
DEL-T1,delirium,A,xgboost,4,607338,148913,0.2102502803650453,0.9168018682499488,0.6968094260742037,384
DEL-T1,delirium,A,xgboost,5,605838,150413,0.2107331148238516,0.9143636518492024,0.6864173143996387,384
S-T1,stroke,A,xgboost,1,29170,7349,0.1372975915090488,0.7453176928151368,0.253412636752626,384
S-T1,stroke,A,xgboost,2,29162,7357,0.1515563408998233,0.7109167177933944,0.2517959481457252,384
S-T1,stroke,A,xgboost,3,29123,7396,0.1387236343969713,0.733925779038561,0.2618720101754175,384
S-T1,stroke,A,xgboost,4,29293,7226,0.13230002767783,0.7311989916785117,0.2375308119066292,384
S-T1,stroke,A,xgboost,5,29328,7191,0.1525518008621888,0.7100093072403509,0.2489686623455644,384
SEP-S1,sepsis,A,xgboost,1,22005,4998,0.1988795518207282,0.7580168825138643,0.4691697652963165,384
SEP-S1,sepsis,A,xgboost,2,21342,5661,0.2118000353294471,0.741201299902915,0.4640991040888134,384
SEP-S1,sepsis,A,xgboost,3,21546,5457,0.2147700201575957,0.7427883600622858,0.4576793700939089,384
SEP-S1,sepsis,A,xgboost,4,21718,5285,0.210406811731315,0.7458865402286365,0.4558347240631158,384
SEP-S1,sepsis,A,xgboost,5,21401,5602,0.2183148875401642,0.7675374758403344,0.4795675834686106,384
SEP-T1,sepsis,A,xgboost,1,698754,172803,0.0168747070363361,0.9508907954575762,0.3175747009910343,384
SEP-T1,sepsis,A,xgboost,2,697525,174032,0.0170658269743495,0.9516914358772866,0.3340787215023375,384
SEP-T1,sepsis,A,xgboost,3,699618,171939,0.016680334304608,0.9511236715048296,0.3384579127880066,384
SEP-T1,sepsis,A,xgboost,4,696443,175114,0.0159610310997407,0.9496045011414896,0.3390470482678699,384
SEP-T1,sepsis,A,xgboost,5,693888,177669,0.0162042899999437,0.9471381695348964,0.3182267991611091,384
AKI-S1,aki,B1,bilstm_attention,1,1411551,353332,0.009883056162476,0.975656951032303,0.3164916745326832,106
AKI-S1,aki,B1,bilstm_attention,2,1409221,355662,0.0097733241110942,0.9793599083343456,0.4174653585977124,106
AKI-S1,aki,B1,bilstm_attention,3,1414839,350044,0.0101272982825016,0.9764222677444924,0.3182764605812654,106
AKI-S1,aki,B1,bilstm_attention,4,1410509,354374,0.0096677521488596,0.97808255652153,0.3036896091940024,106
AKI-S1,aki,B1,bilstm_attention,5,1413412,351471,0.0095712021759974,0.975803200716775,0.3395136701699028,106
AKI-S1,aki,B1,temporal_transformer,1,1411551,353332,0.009883056162476,0.9768527885698164,0.3358865963096843,106
AKI-S1,aki,B1,temporal_transformer,2,1409221,355662,0.0097733241110942,0.9803574826362969,0.4042805242220336,106
AKI-S1,aki,B1,temporal_transformer,3,1414839,350044,0.0101272982825016,0.9728113479068162,0.3318235825710304,106
AKI-S1,aki,B1,temporal_transformer,4,1410509,354374,0.0096677521488596,0.9808797794762636,0.3100437435854754,106
AKI-S1,aki,B1,temporal_transformer,5,1413412,351471,0.0095712021759974,0.9777927318341616,0.3490788930486988,106
AKI-T1,aki,B1,bilstm_attention,1,553127,138886,0.0820385064009331,0.9523020201438942,0.6118054776878983,106
AKI-T1,aki,B1,bilstm_attention,2,553518,138495,0.0863280262825372,0.94537094257033,0.5921511083009188,106
AKI-T1,aki,B1,bilstm_attention,3,553290,138723,0.0848957995429741,0.9468511923953024,0.5893378272839942,106
AKI-T1,aki,B1,bilstm_attention,4,552546,139467,0.0847942524037944,0.9496093060282028,0.6121669085648143,106
AKI-T1,aki,B1,bilstm_attention,5,555571,136442,0.084966505914601,0.9484562946795184,0.6112226964346297,106
AKI-T1,aki,B1,temporal_transformer,1,553127,138886,0.0820385064009331,0.9445360515511576,0.5662596386920615,106
AKI-T1,aki,B1,temporal_transformer,2,553518,138495,0.0863280262825372,0.9382022050701128,0.5520999474840472,106
AKI-T1,aki,B1,temporal_transformer,3,553290,138723,0.0848957995429741,0.9396849037340292,0.5505671032144565,106
AKI-T1,aki,B1,temporal_transformer,4,552546,139467,0.0847942524037944,0.9412583912054532,0.5645625961754331,106
AKI-T1,aki,B1,temporal_transformer,5,555571,136442,0.084966505914601,0.9415854942782094,0.5759365923440466,106
DEL-S1,delirium,B1,bilstm_attention,1,606509,149742,0.2194374323836999,0.912424241894267,0.7079741556057909,106
DEL-S1,delirium,B1,bilstm_attention,2,605082,151169,0.2203361800369123,0.9094144888114816,0.6988390828335778,106
DEL-S1,delirium,B1,bilstm_attention,3,606152,150099,0.21928194058588,0.9117681588541812,0.7028849767600432,106
DEL-S1,delirium,B1,bilstm_attention,4,601865,154386,0.2114440428536266,0.9070861822583014,0.6886700196889125,106
DEL-S1,delirium,B1,bilstm_attention,5,605396,150855,0.231255178814093,0.9116172274018748,0.7138389084741199,106
DEL-S1,delirium,B1,temporal_transformer,1,606509,149742,0.2194374323836999,0.9147143841984762,0.6966149828634476,106
DEL-S1,delirium,B1,temporal_transformer,2,605082,151169,0.2203361800369123,0.9120815320547224,0.6970952264528046,106
DEL-S1,delirium,B1,temporal_transformer,3,606152,150099,0.21928194058588,0.9101493777685652,0.678059899642796,106
DEL-S1,delirium,B1,temporal_transformer,4,601865,154386,0.2114440428536266,0.9070707505146398,0.6722901807947326,106
DEL-S1,delirium,B1,temporal_transformer,5,605396,150855,0.231255178814093,0.9101917719080074,0.6997736585824937,106
DEL-T1,delirium,B1,bilstm_attention,1,603100,153151,0.2162506284647178,0.90634109535725,0.661135592844865,106
DEL-T1,delirium,B1,bilstm_attention,2,605555,150696,0.2066610925306577,0.9142446396201462,0.6685847288857296,106
DEL-T1,delirium,B1,bilstm_attention,3,603173,153078,0.2109055514182312,0.9072030445299492,0.6562797649261326,106
DEL-T1,delirium,B1,bilstm_attention,4,607338,148913,0.2102502803650453,0.9084378840702904,0.6598136421677002,106
DEL-T1,delirium,B1,bilstm_attention,5,605838,150413,0.2107331148238516,0.9048502353472424,0.6511199596952842,106
DEL-T1,delirium,B1,temporal_transformer,1,603100,153151,0.2162506284647178,0.890876081051736,0.6149311446026201,106
DEL-T1,delirium,B1,temporal_transformer,2,605555,150696,0.2066610925306577,0.8973518478424845,0.61407027655357,106
DEL-T1,delirium,B1,temporal_transformer,3,603173,153078,0.2109055514182312,0.8924374196530523,0.6112034508558682,106
DEL-T1,delirium,B1,temporal_transformer,4,607338,148913,0.2102502803650453,0.8962508816346813,0.6242589542035623,106
DEL-T1,delirium,B1,temporal_transformer,5,605838,150413,0.2107331148238516,0.8933050910306952,0.6095793486697667,106
SEP-S1,sepsis,B1,bilstm_attention,1,22005,4998,0.1988795518207282,0.7222136515396073,0.4030767115883581,106
SEP-S1,sepsis,B1,bilstm_attention,2,21342,5661,0.2118000353294471,0.7033852541842541,0.4240882442233916,106
SEP-S1,sepsis,B1,bilstm_attention,3,21546,5457,0.2147700201575957,0.6875318099091601,0.3924952456189883,106
SEP-S1,sepsis,B1,bilstm_attention,4,21718,5285,0.210406811731315,0.705702619787707,0.4091358386111099,106
SEP-S1,sepsis,B1,bilstm_attention,5,21401,5602,0.2183148875401642,0.7007526070778974,0.410092432107704,106
SEP-S1,sepsis,B1,temporal_transformer,1,22005,4998,0.1988795518207282,0.6388528473538535,0.3097294041964175,106
SEP-S1,sepsis,B1,temporal_transformer,2,21342,5661,0.2118000353294471,0.6500184675037355,0.3485379267919039,106
SEP-S1,sepsis,B1,temporal_transformer,3,21546,5457,0.2147700201575957,0.6136085678671133,0.3268015896825025,106
SEP-S1,sepsis,B1,temporal_transformer,4,21718,5285,0.210406811731315,0.638357215018783,0.3259229130587886,106
SEP-S1,sepsis,B1,temporal_transformer,5,21401,5602,0.2183148875401642,0.6722854208099797,0.3803969222258401,106
SEP-T1,sepsis,B1,bilstm_attention,1,698754,172803,0.0168747070363361,0.9529790602036828,0.2820877227503403,106
