task_id,condition,branch,model,auroc_mean,auroc_std,auprc_mean,auprc_std,folds,rows_mean
AKI-S1,aki,A,xgboost,0.9772223656202428,0.0026194876638012897,0.37247619202717763,0.005203047082635109,5,352976.6
AKI-S1,aki,B1,bilstm_attention,0.9770649768698891,0.0016038913315536705,0.33908735461511325,0.04566166801328529,5,352976.6
AKI-S1,aki,B1,temporal_transformer,0.977738826084671,0.0032322963912798457,0.3462226679473845,0.03536225141869906,5,352976.6
AKI-T1,aki,A,xgboost,0.9406268453298547,0.002086410885376785,0.5950642498556814,0.0076024349003632145,5,138402.6
AKI-T1,aki,B1,bilstm_attention,0.9485179511634495,0.0026549850700125803,0.6033368036544511,0.011543045715017353,5,138402.6
AKI-T1,aki,B1,temporal_transformer,0.9410534091677925,0.0023693934930571737,0.561885175582009,0.010578235587777275,5,138402.6
DEL-S1,delirium,A,xgboost,0.9182086951847992,0.0028405153158959887,0.7022283556054619,0.011881680726896953,5,151250.2
DEL-S1,delirium,B1,bilstm_attention,0.9104620598440212,0.002201387042942824,0.7024414286724888,0.009530725955942378,5,151250.2
DEL-S1,delirium,B1,temporal_transformer,0.9108415632888821,0.002813211818795076,0.6887667896672549,0.012631550706335046,5,151250.2
DEL-T1,delirium,A,xgboost,0.9161128845437307,0.002084806066034197,0.6916652167367753,0.005301451370764529,5,151250.2
DEL-T1,delirium,B1,bilstm_attention,0.9082153797849756,0.003614673020771578,0.6593867377039423,0.006438879599585396,5,151250.2
DEL-T1,delirium,B1,temporal_transformer,0.8940442642425298,0.0026914206698456455,0.6148086349770775,0.005705512752681178,5,151250.2
SEP-S1,sepsis,A,xgboost,0.7510861117096072,0.01131680935757724,0.4652701094021531,0.009586998408777653,5,5400.6
SEP-S1,sepsis,B1,bilstm_attention,0.7039171884997252,0.0124169892274796,0.4077776944299104,0.011498794306736858,5,5400.6
SEP-S1,sepsis,B1,temporal_transformer,0.642624503710693,0.021264996949661844,0.3382777511910905,0.027288496644139494,5,5400.6
SEP-T1,sepsis,A,xgboost,0.9500897147032157,0.0018181968294981499,0.3294770365420715,0.010743023314548687,5,174311.4
SEP-T1,sepsis,B1,bilstm_attention,0.9529887882652931,0.001312935890318029,0.27530660243615346,0.010579563715652435,5,174311.4
SEP-T1,sepsis,B1,temporal_transformer,0.9477003826207577,0.0021050811477655515,0.2578687529537006,0.013594076223142407,5,174311.4
S-T1,stroke,A,xgboost,0.726273697713191,0.015377368503810128,0.25071601386519243,0.008800526614105296,5,7303.8
S-T1,stroke,B1,bilstm_attention,0.7068346760983941,0.016196834175833796,0.2471938242445813,0.015071438421468424,5,7303.8
S-T1,stroke,B1,temporal_transformer,0.67647015603598,0.019850026413330737,0.22972166830931579,0.010483973215552014,5,7303.8
