task_id,condition,branch,model,fold,train_rows,val_rows,val_positive_rate,auroc,auprc,n_features
AKI-S1,aki,B1,bilstm_attention,1,1411551,353332,0.009883056162476,0.975656951032303,0.3164916745326832,106
AKI-S1,aki,B1,bilstm_attention,2,1409221,355662,0.0097733241110942,0.9793599083343456,0.4174653585977124,106
AKI-S1,aki,B1,bilstm_attention,3,1414839,350044,0.0101272982825016,0.9764222677444924,0.3182764605812654,106
AKI-S1,aki,B1,bilstm_attention,4,1410509,354374,0.0096677521488596,0.97808255652153,0.3036896091940024,106
AKI-S1,aki,B1,bilstm_attention,5,1413412,351471,0.0095712021759974,0.975803200716775,0.3395136701699028,106
AKI-S1,aki,B1,temporal_transformer,1,1411551,353332,0.009883056162476084,0.9768527885698165,0.3358865963096843,106
AKI-S1,aki,B1,temporal_transformer,2,1409221,355662,0.009773324111094241,0.9803574826362969,0.40428052422203364,106
AKI-S1,aki,B1,temporal_transformer,3,1414839,350044,0.010127298282501628,0.9728113479068162,0.3318235825710304,106
AKI-S1,aki,B1,temporal_transformer,4,1410509,354374,0.00966775214885968,0.9808797794762636,0.31004374358547543,106
AKI-S1,aki,B1,temporal_transformer,5,1413412,351471,0.00957120217599745,0.9777927318341616,0.3490788930486988,106
AKI-T1,aki,B1,bilstm_attention,1,553127,138886,0.0820385064009331,0.9523020201438942,0.6118054776878983,106
AKI-T1,aki,B1,bilstm_attention,2,553518,138495,0.0863280262825372,0.94537094257033,0.5921511083009188,106
AKI-T1,aki,B1,bilstm_attention,3,553290,138723,0.0848957995429741,0.9468511923953024,0.5893378272839942,106
AKI-T1,aki,B1,bilstm_attention,4,552546,139467,0.0847942524037944,0.9496093060282028,0.6121669085648143,106
AKI-T1,aki,B1,bilstm_attention,5,555571,136442,0.084966505914601,0.9484562946795184,0.6112226964346297,106
AKI-T1,aki,B1,temporal_transformer,1,553127,138886,0.08203850640093314,0.9445360515511575,0.5662596386920615,106
AKI-T1,aki,B1,temporal_transformer,2,553518,138495,0.08632802628253727,0.9382022050701129,0.5520999474840472,106
AKI-T1,aki,B1,temporal_transformer,3,553290,138723,0.08489579954297413,0.9396849037340291,0.5505671032144565,106
AKI-T1,aki,B1,temporal_transformer,4,552546,139467,0.08479425240379444,0.9412583912054531,0.5645625961754331,106
AKI-T1,aki,B1,temporal_transformer,5,555571,136442,0.08496650591460107,0.9415854942782094,0.5759365923440466,106
DEL-S1,delirium,B1,bilstm_attention,1,606509,149742,0.2194374323836999,0.912424241894267,0.7079741556057909,106
DEL-S1,delirium,B1,bilstm_attention,2,605082,151169,0.2203361800369123,0.9094144888114816,0.6988390828335778,106
DEL-S1,delirium,B1,bilstm_attention,3,606152,150099,0.21928194058588,0.9117681588541812,0.7028849767600432,106
DEL-S1,delirium,B1,bilstm_attention,4,601865,154386,0.2114440428536266,0.9070861822583014,0.6886700196889125,106
DEL-S1,delirium,B1,bilstm_attention,5,605396,150855,0.231255178814093,0.9116172274018748,0.7138389084741199,106
DEL-S1,delirium,B1,temporal_transformer,1,606509,149742,0.21943743238369998,0.9147143841984762,0.6966149828634476,106
DEL-S1,delirium,B1,temporal_transformer,2,605082,151169,0.22033618003691233,0.9120815320547223,0.6970952264528046,106
DEL-S1,delirium,B1,temporal_transformer,3,606152,150099,0.21928194058588,0.9101493777685652,0.678059899642796,106
DEL-S1,delirium,B1,temporal_transformer,4,601865,154386,0.2114440428536266,0.9070707505146398,0.6722901807947326,106
DEL-S1,delirium,B1,temporal_transformer,5,605396,150855,0.231255178814093,0.9101917719080074,0.6997736585824937,106
DEL-T1,delirium,B1,bilstm_attention,1,603100,153151,0.2162506284647178,0.90634109535725,0.661135592844865,106
DEL-T1,delirium,B1,bilstm_attention,2,605555,150696,0.2066610925306577,0.9142446396201462,0.6685847288857296,106
DEL-T1,delirium,B1,bilstm_attention,3,603173,153078,0.2109055514182312,0.9072030445299492,0.6562797649261326,106
DEL-T1,delirium,B1,bilstm_attention,4,607338,148913,0.2102502803650453,0.9084378840702904,0.6598136421677002,106
DEL-T1,delirium,B1,bilstm_attention,5,605838,150413,0.2107331148238516,0.9048502353472424,0.6511199596952842,106
DEL-T1,delirium,B1,temporal_transformer,1,603100,153151,0.21625062846471782,0.890876081051736,0.6149311446026201,106
DEL-T1,delirium,B1,temporal_transformer,2,605555,150696,0.20666109253065776,0.8973518478424845,0.61407027655357,106
DEL-T1,delirium,B1,temporal_transformer,3,603173,153078,0.21090555141823122,0.8924374196530523,0.6112034508558682,106
DEL-T1,delirium,B1,temporal_transformer,4,607338,148913,0.21025028036504537,0.8962508816346813,0.6242589542035623,106
DEL-T1,delirium,B1,temporal_transformer,5,605838,150413,0.21073311482385165,0.8933050910306952,0.6095793486697667,106
SEP-S1,sepsis,B1,bilstm_attention,1,22005,4998,0.1988795518207282,0.7222136515396073,0.4030767115883581,106
SEP-S1,sepsis,B1,bilstm_attention,2,21342,5661,0.2118000353294471,0.7033852541842541,0.4240882442233916,106
SEP-S1,sepsis,B1,bilstm_attention,3,21546,5457,0.2147700201575957,0.6875318099091601,0.3924952456189883,106
SEP-S1,sepsis,B1,bilstm_attention,4,21718,5285,0.210406811731315,0.705702619787707,0.4091358386111099,106
SEP-S1,sepsis,B1,bilstm_attention,5,21401,5602,0.2183148875401642,0.7007526070778974,0.410092432107704,106
SEP-S1,sepsis,B1,temporal_transformer,1,22005,4998,0.19887955182072828,0.6388528473538535,0.3097294041964175,106
SEP-S1,sepsis,B1,temporal_transformer,2,21342,5661,0.2118000353294471,0.6500184675037355,0.3485379267919039,106
SEP-S1,sepsis,B1,temporal_transformer,3,21546,5457,0.21477002015759575,0.6136085678671133,0.3268015896825025,106
SEP-S1,sepsis,B1,temporal_transformer,4,21718,5285,0.21040681173131504,0.638357215018783,0.3259229130587886,106
SEP-S1,sepsis,B1,temporal_transformer,5,21401,5602,0.21831488754016423,0.6722854208099797,0.38039692222584015,106
SEP-T1,sepsis,B1,bilstm_attention,1,698754,172803,0.0168747070363361,0.9529790602036828,0.2820877227503403,106
SEP-T1,sepsis,B1,bilstm_attention,2,697525,174032,0.0170658269743495,0.9538299953623054,0.2751479501951314,106
SEP-T1,sepsis,B1,bilstm_attention,3,699618,171939,0.016680334304608,0.951204131087773,0.2796325375252778,106
SEP-T1,sepsis,B1,bilstm_attention,4,696443,175114,0.0159610310997407,0.9545941383975414,0.2825416972577964,106
SEP-T1,sepsis,B1,bilstm_attention,5,693888,177669,0.0162042899999437,0.9523366162751626,0.2571231044522215,106
SEP-T1,sepsis,B1,temporal_transformer,1,698754,172803,0.016874707036336176,0.9482169038076733,0.2556231562841455,106
SEP-T1,sepsis,B1,temporal_transformer,2,697525,174032,0.017065826974349545,0.9488070405252478,0.26299207485756754,106
SEP-T1,sepsis,B1,temporal_transformer,3,699618,171939,0.01668033430460803,0.9476105515638925,0.2682696510037362,106
SEP-T1,sepsis,B1,temporal_transformer,4,696443,175114,0.01596103109974074,0.9496769122948233,0.2672226414806368,106
SEP-T1,sepsis,B1,temporal_transformer,5,693888,177669,0.016204289999943715,0.9441905049121517,0.23523624114241726,106
S-T1,stroke,B1,bilstm_attention,1,29170,7349,0.1372975915090488,0.6875552206794997,0.2249676551428203,106
S-T1,stroke,B1,bilstm_attention,2,29162,7357,0.1515563408998233,0.7043200767834847,0.2579473325796748,106
S-T1,stroke,B1,bilstm_attention,3,29123,7396,0.1387236343969713,0.7125959740621394,0.2394430423850101,106
S-T1,stroke,B1,bilstm_attention,4,29293,7226,0.13230002767783,0.730813697423475,0.2620068673742515,106
S-T1,stroke,B1,bilstm_attention,5,29328,7191,0.1525518008621888,0.6988884115433714,0.2516042237411497,106
S-T1,stroke,B1,temporal_transformer,1,29170,7349,0.13729759150904886,0.6592811385230091,0.22183259857017906,106
S-T1,stroke,B1,temporal_transformer,2,29162,7357,0.1515563408998233,0.6901684380221932,0.2463588041283824,106
