task_id,condition,branch,model,fold,train_rows,val_rows,val_positive_rate,auroc,auprc,n_features
AKI-S1,aki,A,xgboost,1,1411551,353332,0.009883056162476084,0.9788093011231579,0.3783265780094315,384
AKI-S1,aki,A,xgboost,2,1409221,355662,0.009773324111094241,0.9726092390131726,0.3661997789287649,384
AKI-S1,aki,A,xgboost,3,1414839,350044,0.010127298282501628,0.9780440330494933,0.3680772932413193,384
AKI-S1,aki,A,xgboost,4,1410509,354374,0.00966775214885968,0.9788454256043215,0.37353289822548535,384
AKI-S1,aki,A,xgboost,5,1413412,351471,0.00957120217599745,0.9778038293110685,0.3762444117308871,384
AKI-T1,aki,A,xgboost,1,553127,138886,0.08203850640093314,0.9441332721632123,0.5997444153088988,384
AKI-T1,aki,A,xgboost,2,553518,138495,0.08632802628253727,0.9388737430496774,0.5965411995285093,384
AKI-T1,aki,A,xgboost,3,553290,138723,0.08489579954297413,0.9392967209301255,0.5819761326164693,384
AKI-T1,aki,A,xgboost,4,552546,139467,0.08479425240379444,0.9401108896352028,0.5961023522390174,384
AKI-T1,aki,A,xgboost,5,555571,136442,0.08496650591460107,0.9407196008710551,0.6009571495855119,384
DEL-S1,delirium,A,xgboost,1,606509,149742,0.21943743238369998,0.9222813239622435,0.7127618754633802,384
DEL-S1,delirium,A,xgboost,2,605082,151169,0.22033618003691233,0.917866063203071,0.7016339262006849,384
DEL-S1,delirium,A,xgboost,3,606152,150099,0.21928194058588,0.9187294446770402,0.7011295818140679,384
DEL-S1,delirium,A,xgboost,4,601865,154386,0.2114440428536266,0.9143134625591628,0.6834362444239038,384
DEL-S1,delirium,A,xgboost,5,605396,150855,0.231255178814093,0.9178531815224782,0.7121801501252728,384
DEL-T1,delirium,A,xgboost,1,603100,153151,0.21625062846471782,0.9158345315973553,0.6973853675653234,384
DEL-T1,delirium,A,xgboost,2,605555,150696,0.20666109253065776,0.9193196787457762,0.6910847392813384,384
DEL-T1,delirium,A,xgboost,3,603173,153078,0.21090555141823122,0.9142446922763711,0.6866292363633718,384
DEL-T1,delirium,A,xgboost,4,607338,148913,0.21025028036504537,0.9168018682499489,0.6968094260742037,384
DEL-T1,delirium,A,xgboost,5,605838,150413,0.21073311482385165,0.9143636518492025,0.6864173143996387,384
S-T1,stroke,A,xgboost,1,29170,7349,0.13729759150904886,0.7453176928151368,0.25341263675262604,384
S-T1,stroke,A,xgboost,2,29162,7357,0.1515563408998233,0.7109167177933944,0.2517959481457252,384
S-T1,stroke,A,xgboost,3,29123,7396,0.13872363439697133,0.733925779038561,0.2618720101754175,384
S-T1,stroke,A,xgboost,4,29293,7226,0.13230002767783006,0.7311989916785117,0.23753081190662922,384
S-T1,stroke,A,xgboost,5,29328,7191,0.15255180086218884,0.7100093072403509,0.24896866234556442,384
SEP-S1,sepsis,A,xgboost,1,22005,4998,0.19887955182072828,0.7580168825138643,0.4691697652963165,384
SEP-S1,sepsis,A,xgboost,2,21342,5661,0.2118000353294471,0.741201299902915,0.4640991040888134,384
SEP-S1,sepsis,A,xgboost,3,21546,5457,0.21477002015759575,0.7427883600622858,0.4576793700939089,384
SEP-S1,sepsis,A,xgboost,4,21718,5285,0.21040681173131504,0.7458865402286365,0.4558347240631158,384
SEP-S1,sepsis,A,xgboost,5,21401,5602,0.21831488754016423,0.7675374758403344,0.4795675834686106,384
SEP-T1,sepsis,A,xgboost,1,698754,172803,0.016874707036336176,0.9508907954575762,0.31757470099103435,384
SEP-T1,sepsis,A,xgboost,2,697525,174032,0.017065826974349545,0.9516914358772866,0.33407872150233753,384
SEP-T1,sepsis,A,xgboost,3,699618,171939,0.01668033430460803,0.9511236715048296,0.3384579127880066,384
SEP-T1,sepsis,A,xgboost,4,696443,175114,0.01596103109974074,0.9496045011414896,0.33904704826786997,384
SEP-T1,sepsis,A,xgboost,5,693888,177669,0.016204289999943715,0.9471381695348963,0.31822679916110913,384
