provider,model_name,task_id,dimension_id,score_kind,n_rows,n_positive_truth,n_positive_pred,binary_accuracy,event_presence_auroc,event_presence_auprc,brier,positive_exact_hour_rate,positive_tolerance_1h_rate,median_abs_hour_error,accuracy,macro_f1,balanced_accuracy,truth_distribution,pred_distribution,exact_match,tolerance_1,median_abs_error
gemini31pro,gemini-3.1-pro,AKI-S1,D1,event_time,934,934.0,893.0,0.9561027837259101,,1.0,0.046437366167023555,0.27194860813704497,0.37044967880085655,4.0,,,,,,,,
gemini31pro,gemini-3.1-pro-high,AKI-S1,D1,event_time,1,1.0,1.0,1.0,,1.0,0.009999999999999995,0.0,0.0,20.0,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-S1,D2,event_time,938,0.0,92.0,0.9019189765458422,,,0.08846481876332624,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-T1,D1,event_time,1829,0.0,611.0,0.6659376708583926,,,0.27334199015855654,,,,,,,,,,,
gemini31pro,gemini-3.1-pro-preview,AKI-T1,D1,event_time,1,0.0,1.0,0.0,,,0.81,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-T1,D2,event_time,1868,0.0,15.0,0.9919700214132763,,,0.016423982869379013,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,AKI-T1,D5,categorical,1115,,,,,,,,,,0.6520179372197309,0.4135588257620943,0.6592626171048654,"{""atypical"": 1103, ""typical"": 12}","{""atypical"": 723, ""typical"": 392}",,,
gemini31pro,gemini-3.1-pro,DEL-S1,D1,event_time,929,929.0,929.0,1.0,,1.0,0.009999999999999997,0.9601722282023681,0.9655543595263725,0.0,,,,,,,,
gemini31pro,gemini-3.1-pro,DEL-T1,D1,event_time,1859,1859.0,1859.0,1.0,,1.0,0.009999999999999998,0.9704142011834319,0.9757934373318988,0.0,,,,,,,,
gemini31pro,gemini-3.1-pro,DEL-T1,D2,event_time,1875,1875.0,1875.0,1.0,,1.0,0.009999999999999997,0.9984,0.9984,0.0,,,,,,,,
gemini31pro,gemini-3.1-pro,S-R1,D4,categorical,312,,,,,,,,,,0.34294871794871795,0.23429353546752069,0.6670061327009383,"{""cardioembolic"": 76, ""large_artery"": 43, ""small_vessel"": 1, ""unknown"": 192}","{""cardioembolic"": 200, ""cryptogenic"": 10, ""large_artery"": 79, ""small_vessel"": 18, ""unknown"": 5}",,,
gemini31pro,gemini-3.1-pro,S-R2,D4,categorical,158,,,,,,,,,,0.2974683544303797,0.2859908988053642,0.4899090201076182,"{""anticoagulation"": 33, ""antiplatelet"": 8, ""both"": 107, ""neither"": 10}","{""anticoagulation"": 48, ""antiplatelet"": 48, ""both"": 19, ""neither"": 43}",,,
gemini31pro,gemini-3.1-pro,S-R3,D2,numeric_exact,4,,,,,,,,,,,,,,,0.75,0.75,0.0
gemini31pro,gemini-3.1-pro,S-R4,D4,binary_from_yesno,362,,,0.48342541436464087,0.4625307612923712,0.10731251348993853,0.4232596685082873,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,S-T1,D1,event_time,931,0.0,905.0,0.027926960257787327,,,0.7818152524167565,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,S-T1,D3,binary_from_trend,912,,,0.7609649122807017,0.5589904544511309,0.17852877375731524,0.19974780701754385,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,S-T2,D4,categorical,272,,,,,,,,,,0.1948529411764706,0.19600574736730345,0.22182394471575684,"{""bilateral_or_none"": 76, ""left"": 73, ""none"": 30, ""right"": 53, ""unknown"": 40}","{""bilateral_or_none"": 80, ""left"": 7, ""none"": 8, ""right"": 10, ""unknown"": 167}",,,
gemini31pro,gemini-3.1-pro,S-T3,D4,categorical,299,,,,,,,,,,0.35451505016722407,0.23007616269648357,0.3558379096227702,"{""consistent"": 37, ""inconsistent"": 11, ""uncertain"": 251}","{""consistent"": 205, ""inconsistent"": 5, ""uncertain"": 89}",,,
gemini31pro,gemini-3.1-pro,SEP-S1,D1,event_time,448,448.0,448.0,1.0,,1.0,0.009999999999999997,0.12276785714285714,0.29464285714285715,3.0,,,,,,,,
gemini31pro,gemini-3.1-pro,SEP-T1,D1,event_time,1803,1803.0,1795.0,0.9955629506378258,,1.0,0.013727121464226286,0.1464226289517471,0.3300055463117027,3.0,,,,,,,,
gemini31pro,gemini-3.1-pro,SEP-T1,D2,event_time,1875,0.0,319.0,0.8298666666666666,,,0.14610666666666666,,,,,,,,,,,
gemini31pro,gemini-3.1-pro,SEP-T1,D5,categorical,1875,,,,,,,,,,0.4208,0.38072063589384253,0.5399162845028986,"{""high"": 1651, ""low"": 224}","{""high"": 701, ""low"": 1174}",,,
gpt54,gpt-5.4,AKI-S1,D1,event_time,884,884.0,738.0,0.834841628959276,,1.0,0.1772794117647059,0.21153846153846154,0.2669683257918552,5.0,,,,,,,,
gpt54,gpt-5.4,AKI-S1,D2,event_time,938,0.0,82.0,0.9125799573560768,,,0.07464818763326227,,,,,,,,,,,
gpt54,gpt-5.4,AKI-T1,D1,event_time,1874,0.0,319.0,0.8297758804695837,,,0.11784284951974384,,,,,,,,,,,
gpt54,gpt-5.4,AKI-T1,D2,event_time,1691,0.0,52.0,0.9692489651094027,,,0.03468066232998226,,,,,,,,,,,
gpt54,gpt-5.4,AKI-T1,D5,categorical,1116,,,,,,,,,,0.6317204301075269,0.3984032653446673,0.5253623188405797,"{""atypical"": 1104, ""typical"": 12}","{""atypical"": 707, ""typical"": 409}",,,
gpt54,gpt-5.4,DEL-S1,D1,event_time,898,898.0,898.0,1.0,,1.0,0.010089086859688193,0.9988864142538976,0.9988864142538976,0.0,,,,,,,,
gpt54,gpt-5.4,DEL-T1,D1,event_time,1821,1821.0,1821.0,1.0,,1.0,0.010351455244371222,0.9945085118066996,0.9956068094453597,0.0,,,,,,,,
gpt54,gpt-5.4,DEL-T1,D2,event_time,1875,1875.0,1875.0,1.0,,1.0,0.010255999999999998,1.0,1.0,0.0,,,,,,,,
gpt54,gpt-5.4,S-R1,D4,categorical,397,,,,,,,,,,0.2594458438287154,0.17346701667239656,0.3709302897078636,"{""cardioembolic"": 83, ""large_artery"": 47, ""small_vessel"": 1, ""unknown"": 266}","{""cardioembolic"": 273, ""cryptogenic"": 16, ""large_artery"": 83, ""small_vessel"": 22, ""unknown"": 3}",,,
gpt54,gpt-5.4,S-R2,D4,categorical,167,,,,,,,,,,0.24550898203592814,0.22507754495332136,0.5202205882352942,"{""anticoagulation"": 20, ""antiplatelet"": 10, ""both"": 136, ""neither"": 1}","{""anticoagulation"": 49, ""antiplatelet"": 107, ""both"": 11}",,,
gpt54,gpt-5.4,S-R3,D2,numeric_exact,4,,,,,,,,,,,,,,,0.75,0.75,0.0
gpt54,gpt-5.4,S-R4,D4,binary_from_yesno,468,,,0.21153846153846154,0.33450958170204,0.07338641621130698,0.5771794871794874,,,,,,,,,,,
gpt54,gpt-5.4,S-T1,D1,event_time,926,0.0,826.0,0.1079913606911447,,,0.5567116630669547,,,,,,,,,,,
gpt54,gpt-5.4,S-T1,D3,binary_from_trend,935,,,0.8064171122994652,0.5274147978103478,0.1666815956932586,0.1697433155080214,,,,,,,,,,,
gpt54,gpt-5.4,S-T2,D4,categorical,316,,,,,,,,,,0.20569620253164558,0.14835700110821887,0.22103036971873583,"{""bilateral_or_none"": 107, ""left"": 74, ""none"": 32, ""right"": 58, ""unknown"": 45}","{""bilateral_or_none"": 96, ""left"": 13, ""right"": 11, ""unknown"": 196}",,,
gpt54,gpt-5.4,S-T3,D4,categorical,352,,,,,,,,,,0.21306818181818182,0.14635524747229456,0.3499418032053004,"{""consistent"": 51, ""inconsistent"": 9, ""uncertain"": 292}","{""consistent"": 304, ""inconsistent"": 21, ""uncertain"": 27}",,,
gpt54,gpt-5.4,SEP-S1,D1,event_time,463,463.0,463.0,1.0,,1.0,0.03228941684665228,0.183585313174946,0.3650107991360691,2.0,,,,,,,,
gpt54,gpt-5.4,SEP-T1,D1,event_time,1854,1854.0,1833.0,0.988673139158576,,1.0,0.04720469255663431,0.1645091693635383,0.36461704422869473,2.0,,,,,,,,
gpt54,gpt-5.4,SEP-T1,D2,event_time,1868,0.0,557.0,0.7018201284796574,,,0.24310492505353312,,,,,,,,,,,
gpt54,gpt-5.4,SEP-T1,D5,categorical,1875,,,,,,,,,,0.32,0.3103318455974181,0.5463450181708056,"{""high"": 1651, ""low"": 224}","{""high"": 446, ""low"": 1429}",,,
manual_fallback,manual_gemini_parsefix,AKI-S1,D1,event_time,1,1.0,1.0,1.0,,1.0,0.009999999999999995,0.0,0.0,19.0,,,,,,,,
manual_fallback,manual_gemini_tail4_fallback,S-T1,D1,event_time,1,0.0,1.0,0.0,,,0.48999999999999994,,,,,,,,,,,
manual_fallback,manual_gemini_tail4_fallback,S-T1,D3,binary_from_trend,1,,,1.0,,,0.09000000000000002,,,,,,,,,,,
