provider,task_id,dimension_id,score_kind,n_rows,binary_accuracy,event_presence_auroc,event_presence_auprc,positive_tolerance_1h_rate,median_abs_hour_error,accuracy,macro_f1,exact_match,tolerance_1
gemini31pro,AKI-S1,D1,event_time,935,0.9561497326203209,,1.0,0.3700534759358289,4.0,,,,
gemini31pro,AKI-S1,D2,event_time,938,0.9019189765458422,,,,,,,,
gemini31pro,AKI-T1,D1,event_time,1830,0.6655737704918033,,,,,,,,
gemini31pro,AKI-T1,D2,event_time,1868,0.9919700214132763,,,,,,,,
gemini31pro,AKI-T1,D5,categorical,1115,,,,,,0.6520179372197309,0.4135588257620943,,
gemini31pro,DEL-S1,D1,event_time,929,1.0,,1.0,0.9655543595263725,0.0,,,,
gemini31pro,DEL-T1,D1,event_time,1859,1.0,,1.0,0.9757934373318988,0.0,,,,
gemini31pro,DEL-T1,D2,event_time,1875,1.0,,1.0,0.9984,0.0,,,,
gemini31pro,S-R1,D4,categorical,312,,,,,,0.34294871794871795,0.23429353546752069,,
gemini31pro,S-R2,D4,categorical,158,,,,,,0.2974683544303797,0.2859908988053642,,
gemini31pro,S-R3,D2,numeric_exact,4,,,,,,,,0.75,0.75
gemini31pro,S-R4,D4,binary_from_yesno,362,0.48342541436464087,0.4625307612923712,0.10731251348993853,,,,,,
gemini31pro,S-T1,D1,event_time,931,0.027926960257787327,,,,,,,,
gemini31pro,S-T1,D3,binary_from_trend,912,0.7609649122807017,0.5589904544511309,0.17852877375731524,,,,,,
gemini31pro,S-T2,D4,categorical,272,,,,,,0.1948529411764706,0.19600574736730345,,
gemini31pro,S-T3,D4,categorical,299,,,,,,0.35451505016722407,0.23007616269648357,,
gemini31pro,SEP-S1,D1,event_time,448,1.0,,1.0,0.29464285714285715,3.0,,,,
gemini31pro,SEP-T1,D1,event_time,1803,0.9955629506378258,,1.0,0.3300055463117027,3.0,,,,
gemini31pro,SEP-T1,D2,event_time,1875,0.8298666666666666,,,,,,,,
gemini31pro,SEP-T1,D5,categorical,1875,,,,,,0.4208,0.38072063589384253,,
gpt54,AKI-S1,D1,event_time,884,0.834841628959276,,1.0,0.2669683257918552,5.0,,,,
gpt54,AKI-S1,D2,event_time,938,0.9125799573560768,,,,,,,,
gpt54,AKI-T1,D1,event_time,1874,0.8297758804695837,,,,,,,,
gpt54,AKI-T1,D2,event_time,1691,0.9692489651094027,,,,,,,,
gpt54,AKI-T1,D5,categorical,1116,,,,,,0.6317204301075269,0.3984032653446673,,
gpt54,DEL-S1,D1,event_time,898,1.0,,1.0,0.9988864142538976,0.0,,,,
gpt54,DEL-T1,D1,event_time,1821,1.0,,1.0,0.9956068094453597,0.0,,,,
gpt54,DEL-T1,D2,event_time,1875,1.0,,1.0,1.0,0.0,,,,
gpt54,S-R1,D4,categorical,397,,,,,,0.2594458438287154,0.17346701667239656,,
gpt54,S-R2,D4,categorical,167,,,,,,0.24550898203592814,0.22507754495332136,,
gpt54,S-R3,D2,numeric_exact,4,,,,,,,,0.75,0.75
gpt54,S-R4,D4,binary_from_yesno,468,0.21153846153846154,0.33450958170204,0.07338641621130698,,,,,,
gpt54,S-T1,D1,event_time,926,0.1079913606911447,,,,,,,,
gpt54,S-T1,D3,binary_from_trend,935,0.8064171122994652,0.5274147978103478,0.1666815956932586,,,,,,
gpt54,S-T2,D4,categorical,316,,,,,,0.20569620253164558,0.14835700110821887,,
gpt54,S-T3,D4,categorical,352,,,,,,0.21306818181818182,0.14635524747229456,,
gpt54,SEP-S1,D1,event_time,463,1.0,,1.0,0.3650107991360691,2.0,,,,
gpt54,SEP-T1,D1,event_time,1854,0.988673139158576,,1.0,0.36461704422869473,2.0,,,,
gpt54,SEP-T1,D2,event_time,1868,0.7018201284796574,,,,,,,,
gpt54,SEP-T1,D5,categorical,1875,,,,,,0.32,0.3103318455974181,,
