feature,importance
hrv_rmssd,0.06767242438088326
medcat_n_notes_total,0.06677976103716791
corr_rr_spo2,0.06526297630084096
corr_hr_temp,0.06520307007213917
pattern_diversity,0.0652017196977134
corr_hr_sbp,0.06493765106177438
hrv_sdnn,0.06413466876482193
hrv_cv,0.06388739951023925
medcat_avg_similarity,0.059716525049480544
medcat_n_concepts,0.0556824360132925
medcat_n_unique_cuis,0.05229485119718257
medcat_n_notes_used,0.050951920744968404
pattern_recurrence,0.049949599030170024
text_evidence_density,0.04030821778774956
text_support_ratio,0.0377421777586566
text_contradict_ratio,0.025425515336660424
creatinine_slope,0.01633682950857817
creatinine_r2,0.014618840602062044
creatinine_volatility,0.012842326984424416
creatinine_rate,0.011952403552172442
lactate_volatility,0.011367557650076047
lactate_r2,0.009971958203789936
has_negative_finding,0.009663765434418476
lactate_rate,0.00920887639051137
lactate_slope,0.008886527930226177
pattern_concentration,0.0
medcat_type_disease,0.0
medcat_type_symptom,0.0
medcat_type_finding,0.0
medcat_type_drug,0.0
medcat_type_procedure,0.0
medcat_type_pathologic,0.0
medcat_type_body_part,0.0
medcat_window_hours,0.0
medcat_type_injury,0.0
