feature,importance
medcat_n_unique_cuis,0.08314366928539199
medcat_n_concepts,0.07144543255330994
medcat_n_notes_total,0.05948692427307771
medcat_avg_similarity,0.05805974137356517
pattern_diversity,0.05795281706058779
text_support_ratio,0.05741997210068617
corr_hr_temp,0.055266681897271054
corr_rr_spo2,0.05508035661088652
hrv_rmssd,0.05469394524036955
corr_hr_sbp,0.05446781993840887
hrv_sdnn,0.05319853858501641
hrv_cv,0.05249132888560689
text_evidence_density,0.05202336586292292
medcat_n_notes_used,0.04770241738654712
pattern_recurrence,0.04394380371559975
text_contradict_ratio,0.021752416256328694
creatinine_r2,0.01729876956463373
lactate_volatility,0.015910869936326174
lactate_r2,0.01511706274261254
creatinine_slope,0.014055141143987183
creatinine_volatility,0.013932559486317936
creatinine_rate,0.012368477662046302
has_negative_finding,0.011599166910345411
lactate_slope,0.010833290217471423
lactate_rate,0.0107554313106825
pattern_concentration,0.0
medcat_type_disease,0.0
medcat_type_symptom,0.0
medcat_type_finding,0.0
medcat_type_drug,0.0
medcat_type_procedure,0.0
medcat_type_pathologic,0.0
medcat_type_body_part,0.0
medcat_window_hours,0.0
medcat_type_injury,0.0
