feature_set,description,model,auroc,auprc,n_features,n_samples
timeseries,仅时序,LogisticRegression,0.7098876744656738,0.2912695348783248,24,74751
timeseries,仅时序,GradientBoosting,0.7612380904028803,0.35830110709181795,24,74751
annotation,时序+标注,LogisticRegression,0.7470567319244096,0.3349454251299269,28,74829
annotation,时序+标注,GradientBoosting,0.7869775797936064,0.3793510757615761,28,74829
bert,时序+标注+BERT,LogisticRegression,0.8236311507306023,0.43581856472048464,78,74829
bert,时序+标注+BERT,GradientBoosting,0.8398626902548401,0.47088271293092704,78,74829
concept,时序+标注+概念,LogisticRegression,0.7869848441851732,0.38932317762779506,80,74829
concept,时序+标注+概念,GradientBoosting,0.8155851361202542,0.4306891229272543,80,74829
all,全特征融合,LogisticRegression,0.8371865053943417,0.4692983036804467,130,74829
all,全特征融合,GradientBoosting,0.8478762912349805,0.48718626499439327,130,74829
