feature,importance
lactate_last,0.079874516
bun_last,0.07006379
urineoutput_min,0.056220315
urineoutput_last,0.03136783
bicarbonate_last,0.026029121
gcs_last,0.021730235
resp_rate_mean,0.02141196
sbp_min,0.017711483
lactate_mean,0.015918408
sodium_last,0.014653865
ph_max,0.014261027
ph_last,0.013645152
platelet_max,0.01265337
resp_rate_min,0.012370787
chloride_delta_total,0.012310819
sodium_max,0.011243297
gcs_min,0.010891292
chloride_mean,0.0108302925
wbc_last,0.010527482
heart_rate_max,0.010265114
lactate_max,0.010120615
age,0.009928218
bicarbonate_mean,0.009755864
spo2_std,0.009744066
glucose_max,0.009494801
platelet_mean,0.009361217
sodium_delta_total,0.009337601
ph_mean,0.0092211515
spo2_min,0.009122033
gcs_mean,0.008386773
platelet_last,0.008215274
gender_M,0.007935371
spo2_last,0.007924903
glucose_delta_total,0.007921963
temperature_min,0.00790735
bun_delta_total,0.007395822
heart_rate_last,0.007320832
temperature_mean,0.0073077423
sbp_mean,0.0072119078
urineoutput_mean,0.007196386
hemoglobin_mean,0.0069207153
bun_mean,0.006920381
temperature_last,0.0066974913
hemoglobin_max,0.0066957106
sbp_last,0.0065818885
creatinine_mean,0.0065419516
spo2_mean,0.006350988
spo2_delta_total,0.006315797
creatinine_last,0.0060062874
gcs_delta_total,0.005946085
gcs_delta_6h,0.005939396
mbp_last,0.005870021
temperature_max,0.0057820883
chloride_max,0.005685975
heart_rate_mean,0.0054716608
hemoglobin_delta_total,0.0053178514
creatinine_delta_total,0.00514615
chloride_last,0.0048783477
heart_rate_min,0.0048382645
resp_rate_std,0.004798385
gcs_max,0.004784898
hematocrit_max,0.0047552055
hemoglobin_last,0.0047527878
glucose_mean,0.004732669
bicarbonate_delta_total,0.0046958313
creatinine_max,0.0046940404
bun_max,0.0046710805
ph_delta_total,0.004645553
resp_rate_last,0.0045873057
wbc_mean,0.004474659
urineoutput_max,0.0044543124
dbp_delta_total,0.0044373376
temperature_delta_12h,0.0044058566
mbp_min,0.004287987
dbp_last,0.0042605507
temperature_delta_6h,0.0042071044
dbp_mean,0.0041958494
hematocrit_mean,0.004165369
dbp_max,0.004104222
sbp_std,0.003979692
urineoutput_std,0.0038494756
mbp_mean,0.0037522835
hematocrit_delta_total,0.0037514183
gcs_std,0.0037181491
urineoutput_delta_12h,0.0036980992
resp_rate_delta_total,0.003684123
spo2_delta_12h,0.003668581
heart_rate_delta_total,0.0036542509
wbc_max,0.0036181686
sodium_mean,0.003617592
temperature_std,0.003588622
sbp_delta_total,0.0035815325
glucose_last,0.0035606364
temperature_delta_total,0.0035354276
bicarbonate_max,0.0034920573
potassium_max,0.0034524482
resp_rate_max,0.0034344
heart_rate_std,0.0034259183
gcs_delta_12h,0.0034242095
potassium_mean,0.0034001146
mbp_std,0.0033374014
platelet_delta_total,0.0033267804
heart_rate_delta_12h,0.0033077362
wbc_delta_total,0.0033049379
hematocrit_last,0.0032453446
lactate_delta_total,0.0031548946
dbp_std,0.0031352327
urineoutput_delta_total,0.0030180588
urineoutput_delta_6h,0.0030013926
sbp_delta_12h,0.0029888714
sbp_delta_6h,0.0029697788
dbp_delta_12h,0.002954751
dbp_min,0.002929305
mbp_delta_total,0.0029231806
potassium_last,0.0028991639
spo2_max,0.0028501493
heart_rate_delta_6h,0.002790638
mbp_delta_12h,0.0027835814
potassium_delta_total,0.002769869
sbp_max,0.002764283
mbp_max,0.0027308315
resp_rate_delta_12h,0.0026733966
resp_rate_delta_6h,0.002627742
spo2_delta_6h,0.0025682568
dbp_delta_6h,0.00224461
mbp_delta_6h,0.0020045892
