task,feature_set,description,model,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,n_test,n_features,n_samples,positive_rate,split_source
prolonged_los,timeseries,仅时序,LogisticRegression,0.6543417106145286,0.006633858164931905,0.26410974758588834,0.003668149871613725,0.657827134032766,0.2684998945584094,13179,36,65899,0.14000212446319368,predefined_splits.csv
prolonged_los,timeseries,仅时序,GradientBoosting,0.7025647652121123,0.005411076813299094,0.30740454911605747,0.003614770744126214,0.7081247014164158,0.3303637808960249,13179,36,65899,0.14000212446319368,predefined_splits.csv
prolonged_los,annotation,时序+标注,LogisticRegression,0.6764007897713675,0.0077479408033281185,0.2928304016539414,0.008187791357074448,0.6779726013247428,0.29690544189592916,13179,44,65899,0.14000212446319368,predefined_splits.csv
prolonged_los,annotation,时序+标注,GradientBoosting,0.7130164532617403,0.005520451291680079,0.3253152714406186,0.005941979572654846,0.7194914646340745,0.3461570794698551,13179,44,65899,0.14000212446319368,predefined_splits.csv
prolonged_los,bert,时序+标注+BERT,LogisticRegression,0.7939586924808364,0.01123284386275614,0.46039371432030646,0.01907084977480999,0.804344988291468,0.4810688395312975,13176,94,65890,0.14000607072393384,predefined_splits.csv
prolonged_los,bert,时序+标注+BERT,GradientBoosting,0.8036399272548203,0.01094982256633788,0.4610839414047748,0.018200872282175835,0.8179749106642951,0.48921922147855207,13176,94,65890,0.14000607072393384,predefined_splits.csv
prolonged_los,concept,时序+标注+概念,LogisticRegression,0.7355391802985725,0.004907497080516047,0.350421635780092,0.007194352528840055,0.7396934663018857,0.3639157949772829,13176,96,65890,0.14000607072393384,predefined_splits.csv
prolonged_los,concept,时序+标注+概念,GradientBoosting,0.7697107799653053,0.0063235435836045606,0.3888364710228703,0.008537262502909574,0.7793023862636473,0.42074428342688935,13176,96,65890,0.14000607072393384,predefined_splits.csv
prolonged_los,all,全特征融合,LogisticRegression,0.8023837656699596,0.010325274580055926,0.4754019122139216,0.013735875069198213,0.8112521492349334,0.49095334552631525,13176,146,65890,0.14000607072393384,predefined_splits.csv
prolonged_los,all,全特征融合,GradientBoosting,0.8117146286913272,0.010308753059061287,0.4770632871528626,0.01583217869622589,0.8253494083789131,0.5074207867129865,13176,146,65890,0.14000607072393384,predefined_splits.csv
