ablation,note_types,task,model,n_samples,positive_rate,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,feature_nonzero_rate,low_coverage_flag
all_included,"nursing,radiology,lab_comment",mortality,XGBoost (AlignmentStats),74829,0.11933875903727165,0.6693255212160311,0.006494653605806334,0.26011507461316097,0.011470684195228373,0.684077935544967,0.29137866853200806,0.9994253564794398,False
all_included,"nursing,radiology,lab_comment",mortality,LogisticRegression (AlignmentStats),74829,0.11933875903727165,0.6705346638072571,0.007642530371334809,0.25864690401660645,0.011620955248685923,0.6789462626018948,0.2829254878449518,0.9994253564794398,False
all_included,"nursing,radiology,lab_comment",prolonged_los,XGBoost (AlignmentStats),74829,0.1616351949110639,0.6691380612023465,0.006905204168262256,0.2993262986713816,0.008292774215992471,0.6839072824822984,0.3201039293982999,0.9994253564794398,False
all_included,"nursing,radiology,lab_comment",prolonged_los,LogisticRegression (AlignmentStats),74829,0.1616351949110639,0.6690191522306271,0.007918248214245261,0.300477604613513,0.008524685588345309,0.6837112654946321,0.31982184797866964,0.9994253564794398,False
only_nursing,nursing,mortality,XGBoost (AlignmentStats),74829,0.11933875903727165,0.5566681647147694,0.00682525561064021,0.1522263525548949,0.007516456542187045,0.5689156101421613,0.16784365010490218,0.9987304387336461,False
only_nursing,nursing,mortality,LogisticRegression (AlignmentStats),74829,0.11933875903727165,0.5630381874022529,0.009576775369871428,0.1522781071883024,0.011528084158121843,0.5727184323324386,0.16367938274064275,0.9987304387336461,False
only_nursing,nursing,prolonged_los,XGBoost (AlignmentStats),74829,0.1616351949110639,0.5692975481472705,0.001311946285578685,0.2065676713568907,0.0048277083908017104,0.5825697227623003,0.21672558201910197,0.9987304387336461,False
only_nursing,nursing,prolonged_los,LogisticRegression (AlignmentStats),74829,0.1616351949110639,0.5746051026576527,0.002954827129054414,0.2061950555520376,0.004992507229205316,0.588956614981931,0.21627089975624073,0.9987304387336461,False
only_radiology,radiology,mortality,XGBoost (AlignmentStats),74829,0.11933875903727165,0.5827687101687198,0.00777093693463146,0.16148953150571985,0.007969015327686102,0.6035298401288942,0.1825157698453191,0.6042710713760707,False
only_radiology,radiology,mortality,LogisticRegression (AlignmentStats),74829,0.11933875903727165,0.5892687470030924,0.008371566575655756,0.16776162353056762,0.009575801602176002,0.6096788011050199,0.18453979837531917,0.6042710713760707,False
