window,task,cohort,model,n_samples,positive_rate,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,test_auroc,test_auprc,fold_details
6h,mortality,all,ClinicalGRU,74829,0.11933875903727165,0.7684305699220937,0.008346330180309433,0.33311913400303717,0.01574159587642163,0.7782008901663573,0.3616809643691199,"[{'fold': 1, 'auroc': 0.7607141492894335, 'auprc': 0.3280910214775791}, {'fold': 2, 'auroc': 0.7825337827915797, 'auprc': 0.3609757066355895}, {'fold': 3, 'auroc': 0.7680699141200141, 'auprc': 0.3238927540649647}, {'fold': 4, 'auroc': 0.7713997731796238, 'auprc': 0.33772169576306704}, {'fold': 5, 'auroc': 0.7594352302298175, 'auprc': 0.3149144920739855}]"
6h,mortality,all,EarlyFusion_XGBoost,74829,0.11933875903727165,0.804481129955616,0.008361398625117667,0.3823165645515092,0.010515015080124297,0.8099081276110234,0.4154076041083074,"[{'fold': 1, 'auroc': 0.7931603776691522, 'auprc': 0.3835799716882996}, {'fold': 2, 'auroc': 0.8157767784982308, 'auprc': 0.4011686045924849}, {'fold': 3, 'auroc': 0.8022700064721419, 'auprc': 0.3791474272517066}, {'fold': 4, 'auroc': 0.8121728424065039, 'auprc': 0.37843688100741946}, {'fold': 5, 'auroc': 0.7990256447320515, 'auprc': 0.36924993821763546}]"
6h,prolonged_los,all,ClinicalGRU,74829,0.1616351949110639,0.6832960715326515,0.0045791981721706385,0.2896881329791553,0.007805684043502652,0.6820162922281328,0.2987345057596468,"[{'fold': 1, 'auroc': 0.6782147079841419, 'auprc': 0.27525711651458384}, {'fold': 2, 'auroc': 0.6882069418826811, 'auprc': 0.29763489445564545}, {'fold': 3, 'auroc': 0.6778656438481989, 'auprc': 0.28837983256093913}, {'fold': 4, 'auroc': 0.6838904410661286, 'auprc': 0.2928213075092055}, {'fold': 5, 'auroc': 0.6883026228821073, 'auprc': 0.29434751385540264}]"
6h,prolonged_los,all,EarlyFusion_XGBoost,74829,0.1616351949110639,0.7261341186798868,0.00577889706351876,0.33554527590473465,0.00968538871135616,0.7279017677077516,0.33813995096849003,"[{'fold': 1, 'auroc': 0.7276172774945331, 'auprc': 0.3268522782133213}, {'fold': 2, 'auroc': 0.7353501031160997, 'auprc': 0.3429208584351186}, {'fold': 3, 'auroc': 0.7200715651716164, 'auprc': 0.34256513807765826}, {'fold': 4, 'auroc': 0.719794593282089, 'auprc': 0.3209994183720997}, {'fold': 5, 'auroc': 0.7278370543350956, 'auprc': 0.3443886864254754}]"
12h,mortality,all,ClinicalGRU,74829,0.11933875903727165,0.7979044729981389,0.00858147655123258,0.38490868712898163,0.02536645936793024,0.7991036228186166,0.4032150228539496,"[{'fold': 1, 'auroc': 0.7946904435425979, 'auprc': 0.3951041678773401}, {'fold': 2, 'auroc': 0.8118840276440752, 'auprc': 0.42689944416235703}, {'fold': 3, 'auroc': 0.7874269642790479, 'auprc': 0.3587793163365802}, {'fold': 4, 'auroc': 0.8028903331747599, 'auprc': 0.38468436671842776}, {'fold': 5, 'auroc': 0.7926305963502142, 'auprc': 0.35907614055020287}]"
12h,mortality,all,EarlyFusion_XGBoost,74829,0.11933875903727165,0.8377765533630764,0.007891945479805606,0.4455031517760567,0.02039783623428829,0.837971450067651,0.464487938752098,"[{'fold': 1, 'auroc': 0.8298387213623064, 'auprc': 0.44876400199993904}, {'fold': 2, 'auroc': 0.8522685771361505, 'auprc': 0.4813566733544947}, {'fold': 3, 'auroc': 0.8378844164013205, 'auprc': 0.434878104403628}, {'fold': 4, 'auroc': 0.837290079155138, 'auprc': 0.4427810332590955}, {'fold': 5, 'auroc': 0.8316009727604674, 'auprc': 0.419735945863126}]"
12h,prolonged_los,all,ClinicalGRU,74829,0.1616351949110639,0.7063360372021648,0.007029271131122622,0.3065405237331409,0.0033369160885888993,0.7089367374026293,0.31347330116957883,"[{'fold': 1, 'auroc': 0.714027938531753, 'auprc': 0.3040304362500282}, {'fold': 2, 'auroc': 0.7015567922235015, 'auprc': 0.3022153988336726}, {'fold': 3, 'auroc': 0.6968022741752861, 'auprc': 0.3102994184918809}, {'fold': 4, 'auroc': 0.7147570978674093, 'auprc': 0.305649007106461}, {'fold': 5, 'auroc': 0.704536083212874, 'auprc': 0.3105083579836619}]"
12h,prolonged_los,all,EarlyFusion_XGBoost,74829,0.1616351949110639,0.7600393738000838,0.0043497987456627635,0.3785276129730886,0.009081220428951445,0.7693889146237729,0.3940246142056355,"[{'fold': 1, 'auroc': 0.7593115870953255, 'auprc': 0.36597385015099815}, {'fold': 2, 'auroc': 0.7629057006853828, 'auprc': 0.38120452322929205}, {'fold': 3, 'auroc': 0.7534567792392317, 'auprc': 0.3891832548357735}, {'fold': 4, 'auroc': 0.7582208019308366, 'auprc': 0.36996099223656087}, {'fold': 5, 'auroc': 0.7663020000496423, 'auprc': 0.3863154444128187}]"
24h,mortality,all,ClinicalGRU,74829,0.11933875903727165,0.8298607770472163,0.007699741841411754,0.45518043629621074,0.016496858030390034,0.8353068839670559,0.4884192578231033,"[{'fold': 1, 'auroc': 0.8278934064645811, 'auprc': 0.46309915024786774}, {'fold': 2, 'auroc': 0.8399938297388638, 'auprc': 0.4758948128019386}, {'fold': 3, 'auroc': 0.8309642621885206, 'auprc': 0.45167260848118296}, {'fold': 4, 'auroc': 0.8337615436798551, 'auprc': 0.45906462734747566}, {'fold': 5, 'auroc': 0.8166908431642607, 'auprc': 0.42617098260258884}]"
24h,mortality,all,EarlyFusion_XGBoost,74829,0.11933875903727165,0.8657537217365754,0.0037485683627450864,0.5223303153313541,0.007979916290665572,0.8656960783099922,0.5361829962762233,"[{'fold': 1, 'auroc': 0.8598718622519208, 'auprc': 0.522014020391582}, {'fold': 2, 'auroc': 0.8712615396664306, 'auprc': 0.5320026776409097}, {'fold': 3, 'auroc': 0.867091011001571, 'auprc': 0.5260946832146496}, {'fold': 4, 'auroc': 0.8665119020699159, 'auprc': 0.5236598793468504}, {'fold': 5, 'auroc': 0.8640322936930388, 'auprc': 0.507880316062779}]"
24h,prolonged_los,all,ClinicalGRU,74829,0.1616351949110639,0.7468047454871334,0.006329568212689983,0.3638933049730423,0.010179207208384096,0.7512629188876097,0.37235153155061573,"[{'fold': 1, 'auroc': 0.7454453020976679, 'auprc': 0.360702652055234}, {'fold': 2, 'auroc': 0.7589498247306935, 'auprc': 0.3751053490119694}, {'fold': 3, 'auroc': 0.7455349678541059, 'auprc': 0.36569926989092516}, {'fold': 4, 'auroc': 0.7406188775552739, 'auprc': 0.3461219225172889}, {'fold': 5, 'auroc': 0.7434747551979258, 'auprc': 0.37183733138979413}]"
24h,prolonged_los,all,EarlyFusion_XGBoost,74829,0.1616351949110639,0.8020475401839242,0.003125818916909713,0.4379280800482651,0.010371113549998786,0.8116969350478278,0.4627043769268361,"[{'fold': 1, 'auroc': 0.8002471017415473, 'auprc': 0.4343429956434306}, {'fold': 2, 'auroc': 0.8054142760243685, 'auprc': 0.4309117190275179}, {'fold': 3, 'auroc': 0.8006885367070078, 'auprc': 0.4580740653646067}, {'fold': 4, 'auroc': 0.7979184208990562, 'auprc': 0.42966955251471206}, {'fold': 5, 'auroc': 0.805969365547641, 'auprc': 0.43664206769105834}]"
