window,task,cohort,model,auroc,auprc,n_samples,n_test
6h,mortality,all,XGBoost,0.8099081276110234,0.4154076041083074,74829,15036
6h,mortality,all,LogisticRegression,0.7814689481475053,0.37444933871930564,74829,15036
6h,mortality,sepsis,XGBoost,0.7620947868006422,0.4303303563234065,34152,6831
6h,mortality,sepsis,LogisticRegression,0.7562472283049521,0.4314681596042194,34152,6831
6h,mortality,aki,XGBoost,0.7782423813798754,0.38328974730377785,57263,11581
6h,mortality,aki,LogisticRegression,0.7590126123654692,0.36603226914502596,57263,11581
6h,prolonged_los,all,XGBoost,0.7279017677077516,0.33813995096849003,74829,15036
6h,prolonged_los,all,LogisticRegression,0.6964482927200767,0.2976664784852629,74829,15036
6h,prolonged_los,sepsis,XGBoost,0.6990110263201681,0.4248987626189804,34152,6831
6h,prolonged_los,sepsis,LogisticRegression,0.67459438251258,0.395008260919473,34152,6831
6h,prolonged_los,aki,XGBoost,0.7028546142675829,0.3792847351260191,57263,11581
6h,prolonged_los,aki,LogisticRegression,0.6784781092422562,0.34312044798801244,57263,11581
12h,mortality,all,XGBoost,0.837971450067651,0.464487938752098,74829,15036
12h,mortality,all,LogisticRegression,0.810163098282654,0.4205931212316628,74829,15036
12h,mortality,sepsis,XGBoost,0.8000536531227955,0.49347426861406385,34152,6831
12h,mortality,sepsis,LogisticRegression,0.7874051735626822,0.47101963794885854,34152,6831
12h,mortality,aki,XGBoost,0.8116788723767279,0.4430913355852455,57263,11581
12h,mortality,aki,LogisticRegression,0.7862159178135149,0.406499069567999,57263,11581
12h,prolonged_los,all,XGBoost,0.7693889146237729,0.3940246142056355,74829,15036
12h,prolonged_los,all,LogisticRegression,0.7428855937279462,0.34931244998169625,74829,15036
12h,prolonged_los,sepsis,XGBoost,0.7313324332102691,0.4711194406731716,34152,6831
12h,prolonged_los,sepsis,LogisticRegression,0.7063915108127189,0.43347705935916153,34152,6831
12h,prolonged_los,aki,XGBoost,0.7415000285854763,0.42125339012256524,57263,11581
12h,prolonged_los,aki,LogisticRegression,0.7184718890426153,0.3893881493679311,57263,11581
24h,mortality,all,XGBoost,0.8656960783099922,0.5361829962762233,74829,15036
24h,mortality,all,LogisticRegression,0.8435620497893161,0.5022910603110857,74829,15036
24h,mortality,sepsis,XGBoost,0.8255667470123138,0.5549882910754412,34152,6831
24h,mortality,sepsis,LogisticRegression,0.8054550117990914,0.5312375847941924,34152,6831
24h,mortality,aki,XGBoost,0.8460460321342442,0.5297798763908291,57263,11581
24h,mortality,aki,LogisticRegression,0.8209362097732285,0.49375239697793577,57263,11581
24h,prolonged_los,all,XGBoost,0.8116969350478278,0.4627043769268361,74829,15036
24h,prolonged_los,all,LogisticRegression,0.7880043082484123,0.41870292192046443,74829,15036
24h,prolonged_los,sepsis,XGBoost,0.771771136403495,0.524405619994311,34152,6831
24h,prolonged_los,sepsis,LogisticRegression,0.7473758527185815,0.48351337093946356,34152,6831
24h,prolonged_los,aki,XGBoost,0.781827229381296,0.4794411442449642,57263,11581
24h,prolonged_los,aki,LogisticRegression,0.7576564025749797,0.43914260943921757,57263,11581
