window,task,cohort,model,auroc,auprc,n_samples,n_test
6h,mortality,all,XGBoost,0.8075678319030662,0.4166697200595227,74829,15036
6h,mortality,all,LogisticRegression,0.7808215106007121,0.3745295901245767,74829,15036
6h,mortality,sepsis,XGBoost,0.7677647701187722,0.439142512974581,34152,6831
6h,mortality,sepsis,LogisticRegression,0.755203318910945,0.4298903120306132,34152,6831
6h,mortality,aki,XGBoost,0.7756479573730303,0.3838008361478165,57263,11581
6h,mortality,aki,LogisticRegression,0.7546963438025933,0.3606441604204325,57263,11581
6h,prolonged_los,all,XGBoost,0.6875259184499835,0.661719850519003,74829,15036
6h,prolonged_los,all,LogisticRegression,0.6611620554317279,0.6334870585867562,74829,15036
6h,prolonged_los,sepsis,XGBoost,0.6874153416410208,0.7513902158588708,34152,6831
6h,prolonged_los,sepsis,LogisticRegression,0.6612704647996034,0.7244804010146788,34152,6831
6h,prolonged_los,aki,XGBoost,0.6693932193865071,0.7097419597955943,57263,11581
6h,prolonged_los,aki,LogisticRegression,0.6447794067445238,0.6869514993609153,57263,11581
12h,mortality,all,XGBoost,0.8345419310914792,0.4552105573293259,74829,15036
12h,mortality,all,LogisticRegression,0.8081943079186822,0.4186918150045888,74829,15036
12h,mortality,sepsis,XGBoost,0.7990796105495597,0.4830131320861692,34152,6831
12h,mortality,sepsis,LogisticRegression,0.7856502454027201,0.4667999881950427,34152,6831
12h,mortality,aki,XGBoost,0.8099128182574489,0.4337640768629232,57263,11581
12h,mortality,aki,LogisticRegression,0.7824685676657908,0.3976174742574571,57263,11581
12h,prolonged_los,all,XGBoost,0.726070656014653,0.7088319223890125,74829,15036
12h,prolonged_los,all,LogisticRegression,0.7007279197120625,0.6806073316134355,74829,15036
12h,prolonged_los,sepsis,XGBoost,0.7268078453590412,0.7798868171435858,34152,6831
12h,prolonged_los,sepsis,LogisticRegression,0.7007787000241145,0.7576461171613765,34152,6831
12h,prolonged_los,aki,XGBoost,0.710151990140341,0.7488808708140319,57263,11581
12h,prolonged_los,aki,LogisticRegression,0.6769807814019841,0.7182794195026169,57263,11581
24h,mortality,all,XGBoost,0.8649708011591195,0.534851719886635,74829,15036
24h,mortality,all,LogisticRegression,0.8385259295570787,0.4869123728752665,74829,15036
24h,mortality,sepsis,XGBoost,0.8236723724330945,0.5503461466498815,34152,6831
24h,mortality,sepsis,LogisticRegression,0.8049102947360197,0.5229790450327659,34152,6831
24h,mortality,aki,XGBoost,0.8428873162944477,0.5150743153262478,57263,11581
24h,mortality,aki,LogisticRegression,0.8176714756511143,0.4734259154345687,57263,11581
24h,prolonged_los,all,XGBoost,0.7681316603421043,0.7572568678155949,74829,15036
24h,prolonged_los,all,LogisticRegression,0.7383046957041148,0.7245558756376655,74829,15036
24h,prolonged_los,sepsis,XGBoost,0.7807465713084474,0.8328953180673859,34152,6831
24h,prolonged_los,sepsis,LogisticRegression,0.74766667891813,0.8055690298789782,34152,6831
24h,prolonged_los,aki,XGBoost,0.7563326395530896,0.7938642061172106,57263,11581
24h,prolonged_los,aki,LogisticRegression,0.7200437854037416,0.7648173799768224,57263,11581
