step,task,model,cohort,window,n_samples,positive_rate,auroc_mean,auroc_std,auprc_mean,auprc_std,test_auroc,test_auprc,alpha_final,fold_details,seed,input_paths
fusion,mortality,Late Fusion (Alpha=1.0 Structured XGB),all,24h,74829,0.11933875903727165,0.8679534966452851,0.005180944592264534,0.5243069076736455,0.007978515000073834,0.8685679306633409,0.5373858392579359,1.0,"[{""fold"": 1, ""val_auroc_alpha1"": 0.8644580063604484, ""val_auprc_alpha1"": 0.5333041464016105, ""val_auroc_alpha0"": 0.7492633398494201, ""val_auprc_alpha0"": 0.3433688488604396, ""best_alpha"": 0.8, ""best_val_auroc"": 0.8652441561768787, ""best_val_auprc"": 0.5328406603529015}, {""fold"": 2, ""val_auroc_alpha1"": 0.8767337207195062, ""val_auprc_alpha1"": 0.5309338278704456, ""val_auroc_alpha0"": 0.7384130505528458, ""val_auprc_alpha0"": 0.29860599437091995, ""best_alpha"": 1.0, ""best_val_auroc"": 0.8767337207195062, ""best_val_auprc"": 0.5309338278704456}, {""fold"": 3, ""val_auroc_alpha1"": 0.862567239264262, ""val_auprc_alpha1"": 0.5268413754312669, ""val_auroc_alpha0"": 0.7351175850052105, ""val_auprc_alpha0"": 0.28885135068344536, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8625944524572181, ""best_val_auprc"": 0.5211318837829124}, {""fold"": 4, ""val_auroc_alpha1"": 0.8651861717567383, ""val_auprc_alpha1"": 0.5185536839057876, ""val_auroc_alpha0"": 0.744710852320641, ""val_auprc_alpha0"": 0.30566829751462665, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8653290232908067, ""best_val_auprc"": 0.5137878060466448}, {""fold"": 5, ""val_auroc_alpha1"": 0.8708223451254703, ""val_auprc_alpha1"": 0.5119015047591168, ""val_auroc_alpha0"": 0.7433711366686967, ""val_auprc_alpha0"": 0.2926293369170925, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8712120283474867, ""best_val_auprc"": 0.5132829794321137}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,mortality,Late Fusion (Tuned Alpha XGB Preds),all,24h,74829,0.11933875903727165,0.8682226761983791,0.005104817651210087,0.5223954314970035,0.008255078071544285,0.8688484392628193,0.5353867555527354,0.9,"[{""fold"": 1, ""val_auroc_alpha1"": 0.8644580063604484, ""val_auprc_alpha1"": 0.5333041464016105, ""val_auroc_alpha0"": 0.7492633398494201, ""val_auprc_alpha0"": 0.3433688488604396, ""best_alpha"": 0.8, ""best_val_auroc"": 0.8652441561768787, ""best_val_auprc"": 0.5328406603529015}, {""fold"": 2, ""val_auroc_alpha1"": 0.8767337207195062, ""val_auprc_alpha1"": 0.5309338278704456, ""val_auroc_alpha0"": 0.7384130505528458, ""val_auprc_alpha0"": 0.29860599437091995, ""best_alpha"": 1.0, ""best_val_auroc"": 0.8767337207195062, ""best_val_auprc"": 0.5309338278704456}, {""fold"": 3, ""val_auroc_alpha1"": 0.862567239264262, ""val_auprc_alpha1"": 0.5268413754312669, ""val_auroc_alpha0"": 0.7351175850052105, ""val_auprc_alpha0"": 0.28885135068344536, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8625944524572181, ""best_val_auprc"": 0.5211318837829124}, {""fold"": 4, ""val_auroc_alpha1"": 0.8651861717567383, ""val_auprc_alpha1"": 0.5185536839057876, ""val_auroc_alpha0"": 0.744710852320641, ""val_auprc_alpha0"": 0.30566829751462665, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8653290232908067, ""best_val_auprc"": 0.5137878060466448}, {""fold"": 5, ""val_auroc_alpha1"": 0.8708223451254703, ""val_auprc_alpha1"": 0.5119015047591168, ""val_auroc_alpha0"": 0.7433711366686967, ""val_auprc_alpha0"": 0.2926293369170925, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8712120283474867, ""best_val_auprc"": 0.5132829794321137}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,mortality,Late Fusion (Stacking LR on OOF preds),all,24h,74829,0.11933875903727165,0.8680771367480137,0.004986356055352344,0.5217690066714267,0.008758163249479438,0.868860084557918,0.5348132580630902,,"[{""fold"": 1, ""val_auroc"": 0.8650428497760301, ""val_auprc"": 0.535244097547767, ""n_train_meta"": 47834, ""n_val_meta"": 11959}, {""fold"": 2, ""val_auroc"": 0.8762628404316681, ""val_auprc"": 0.5283681458300709, ""n_train_meta"": 47834, ""n_val_meta"": 11959}, {""fold"": 3, ""val_auroc"": 0.8625402928673154, ""val_auprc"": 0.5190780741480798, ""n_train_meta"": 47834, ""n_val_meta"": 11959}, {""fold"": 4, ""val_auroc"": 0.8653223790334081, ""val_auprc"": 0.5128905803371667, ""n_train_meta"": 47835, ""n_val_meta"": 11958}, {""fold"": 5, ""val_auroc"": 0.8712173216316466, ""val_auprc"": 0.5132641354940488, ""n_train_meta"": 47835, ""n_val_meta"": 11958}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,mortality,Late Fusion (Alpha=1.0 Structured XGB) [clinicalbert],all,24h,74819,0.1193413437763135,0.8677343922988886,0.004470339305653162,0.523223645754828,0.008739670292739777,0.8675054659521937,0.5389405178880646,1.0,"[{""fold"": 1, ""val_auroc_alpha1"": 0.8637956605630094, ""val_auprc_alpha1"": 0.5362378419343778, ""val_auroc_alpha0"": 0.8039098621914038, ""val_auprc_alpha0"": 0.4217892593599101, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8756876784893967, ""best_val_auprc"": 0.5478058696174732}, {""fold"": 2, ""val_auroc_alpha1"": 0.8752823002605659, ""val_auprc_alpha1"": 0.5278908297752465, ""val_auroc_alpha0"": 0.8174331236725846, ""val_auprc_alpha0"": 0.3930800973294465, ""best_alpha"": 0.6000000000000001, ""best_val_auroc"": 0.8842173193333582, ""best_val_auprc"": 0.5222384844346826}, {""fold"": 3, ""val_auroc_alpha1"": 0.8641860198107306, ""val_auprc_alpha1"": 0.5233934314759638, ""val_auroc_alpha0"": 0.8024368907606219, ""val_auprc_alpha0"": 0.4087605543187753, ""best_alpha"": 0.6000000000000001, ""best_val_auroc"": 0.8731410334715772, ""best_val_auprc"": 0.5355121164352707}, {""fold"": 4, ""val_auroc_alpha1"": 0.8649798071220662, ""val_auprc_alpha1"": 0.518260157296319, ""val_auroc_alpha0"": 0.809209762238412, ""val_auprc_alpha0"": 0.41817774664680124, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8782466601762666, ""best_val_auprc"": 0.5296211589749111}, {""fold"": 5, ""val_auroc_alpha1"": 0.8704281737380701, ""val_auprc_alpha1"": 0.510335968292233, ""val_auroc_alpha0"": 0.8078067214610396, ""val_auprc_alpha0"": 0.3906572555859383, ""best_alpha"": 0.6000000000000001, ""best_val_auroc"": 0.8804365588123314, ""best_val_auprc"": 0.5211878426809761}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,mortality,Late Fusion (Tuned Alpha XGB Preds) [clinicalbert],all,24h,74819,0.1193413437763135,0.8783458500565858,0.0038212836839466567,0.5312730944286628,0.009771052495173281,0.8805245801916574,0.5508026683648495,0.56,"[{""fold"": 1, ""val_auroc_alpha1"": 0.8637956605630094, ""val_auprc_alpha1"": 0.5362378419343778, ""val_auroc_alpha0"": 0.8039098621914038, ""val_auprc_alpha0"": 0.4217892593599101, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8756876784893967, ""best_val_auprc"": 0.5478058696174732}, {""fold"": 2, ""val_auroc_alpha1"": 0.8752823002605659, ""val_auprc_alpha1"": 0.5278908297752465, ""val_auroc_alpha0"": 0.8174331236725846, ""val_auprc_alpha0"": 0.3930800973294465, ""best_alpha"": 0.6000000000000001, ""best_val_auroc"": 0.8842173193333582, ""best_val_auprc"": 0.5222384844346826}, {""fold"": 3, ""val_auroc_alpha1"": 0.8641860198107306, ""val_auprc_alpha1"": 0.5233934314759638, ""val_auroc_alpha0"": 0.8024368907606219, ""val_auprc_alpha0"": 0.4087605543187753, ""best_alpha"": 0.6000000000000001, ""best_val_auroc"": 0.8731410334715772, ""best_val_auprc"": 0.5355121164352707}, {""fold"": 4, ""val_auroc_alpha1"": 0.8649798071220662, ""val_auprc_alpha1"": 0.518260157296319, ""val_auroc_alpha0"": 0.809209762238412, ""val_auprc_alpha0"": 0.41817774664680124, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8782466601762666, ""best_val_auprc"": 0.5296211589749111}, {""fold"": 5, ""val_auroc_alpha1"": 0.8704281737380701, ""val_auprc_alpha1"": 0.510335968292233, ""val_auroc_alpha0"": 0.8078067214610396, ""val_auprc_alpha0"": 0.3906572555859383, ""best_alpha"": 0.6000000000000001, ""best_val_auroc"": 0.8804365588123314, ""best_val_auprc"": 0.5211878426809761}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,mortality,Late Fusion (Stacking LR on OOF preds) [clinicalbert],all,24h,74819,0.1193413437763135,0.878254511026265,0.0038467321487499423,0.5329690358765405,0.01212027298513694,0.8802506490971493,0.5524076241722257,,"[{""fold"": 1, ""val_auroc"": 0.8755998077582969, ""val_auprc"": 0.5539102040023551, ""n_train_meta"": 47828, ""n_val_meta"": 11958}, {""fold"": 2, ""val_auroc"": 0.8842419062184377, ""val_auprc"": 0.5209852273249481, ""n_train_meta"": 47827, ""n_val_meta"": 11959}, {""fold"": 3, ""val_auroc"": 0.8731566534964492, ""val_auprc"": 0.5350048668012481, ""n_train_meta"": 47829, ""n_val_meta"": 11957}, {""fold"": 4, ""val_auroc"": 0.8778058661455012, ""val_auprc"": 0.5340978149587443, ""n_train_meta"": 47831, ""n_val_meta"": 11955}, {""fold"": 5, ""val_auroc"": 0.88046832151264, ""val_auprc"": 0.5208470662954068, ""n_train_meta"": 47829, ""n_val_meta"": 11957}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,prolonged_los,Late Fusion (Alpha=1.0 Structured XGB),all,24h,74829,0.1616351949110639,0.8049118787356656,0.007011651474830048,0.4442494886494986,0.011528220836816953,0.8134210272469736,0.45849640930649016,1.0,"[{""fold"": 1, ""val_auroc_alpha1"": 0.7953866946608243, ""val_auprc_alpha1"": 0.42878438319217055, ""val_auroc_alpha0"": 0.6815037224115548, ""val_auprc_alpha0"": 0.29214833472944923, ""best_alpha"": 0.8, ""best_val_auroc"": 0.7965953627069133, ""best_val_auprc"": 0.4300532710789168}, {""fold"": 2, ""val_auroc_alpha1"": 0.8074569903292037, ""val_auprc_alpha1"": 0.43389977102703003, ""val_auroc_alpha0"": 0.6962112732770718, ""val_auprc_alpha0"": 0.2968981998443702, ""best_alpha"": 0.7000000000000001, ""best_val_auroc"": 0.8100470436827353, ""best_val_auprc"": 0.438109763364537}, {""fold"": 3, ""val_auroc_alpha1"": 0.8164396170011796, ""val_auprc_alpha1"": 0.46061871033402185, ""val_auroc_alpha0"": 0.6924998591101176, ""val_auprc_alpha0"": 0.29433318122597246, ""best_alpha"": 0.8, ""best_val_auroc"": 0.8174541809896, ""best_val_auprc"": 0.4583162774445494}, {""fold"": 4, ""val_auroc_alpha1"": 0.8042781945835564, ""val_auprc_alpha1"": 0.4472911996373452, ""val_auroc_alpha0"": 0.6755289132743659, ""val_auprc_alpha0"": 0.2861295488234563, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8045488715178032, ""best_val_auprc"": 0.44615282164096265}, {""fold"": 5, ""val_auroc_alpha1"": 0.8009978971035638, ""val_auprc_alpha1"": 0.4506533790569256, ""val_auroc_alpha0"": 0.6807484603598469, ""val_auprc_alpha0"": 0.2957583515513888, ""best_alpha"": 0.8, ""best_val_auroc"": 0.8021171899390213, ""best_val_auprc"": 0.4486984326583736}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,prolonged_los,Late Fusion (Tuned Alpha XGB Preds),all,24h,74829,0.1616351949110639,0.8061525297672146,0.007114628430481041,0.44426611323746795,0.009597059594235456,0.8145808535105621,0.45791548140591626,0.8,"[{""fold"": 1, ""val_auroc_alpha1"": 0.7953866946608243, ""val_auprc_alpha1"": 0.42878438319217055, ""val_auroc_alpha0"": 0.6815037224115548, ""val_auprc_alpha0"": 0.29214833472944923, ""best_alpha"": 0.8, ""best_val_auroc"": 0.7965953627069133, ""best_val_auprc"": 0.4300532710789168}, {""fold"": 2, ""val_auroc_alpha1"": 0.8074569903292037, ""val_auprc_alpha1"": 0.43389977102703003, ""val_auroc_alpha0"": 0.6962112732770718, ""val_auprc_alpha0"": 0.2968981998443702, ""best_alpha"": 0.7000000000000001, ""best_val_auroc"": 0.8100470436827353, ""best_val_auprc"": 0.438109763364537}, {""fold"": 3, ""val_auroc_alpha1"": 0.8164396170011796, ""val_auprc_alpha1"": 0.46061871033402185, ""val_auroc_alpha0"": 0.6924998591101176, ""val_auprc_alpha0"": 0.29433318122597246, ""best_alpha"": 0.8, ""best_val_auroc"": 0.8174541809896, ""best_val_auprc"": 0.4583162774445494}, {""fold"": 4, ""val_auroc_alpha1"": 0.8042781945835564, ""val_auprc_alpha1"": 0.4472911996373452, ""val_auroc_alpha0"": 0.6755289132743659, ""val_auprc_alpha0"": 0.2861295488234563, ""best_alpha"": 0.9, ""best_val_auroc"": 0.8045488715178032, ""best_val_auprc"": 0.44615282164096265}, {""fold"": 5, ""val_auroc_alpha1"": 0.8009978971035638, ""val_auprc_alpha1"": 0.4506533790569256, ""val_auroc_alpha0"": 0.6807484603598469, ""val_auprc_alpha0"": 0.2957583515513888, ""best_alpha"": 0.8, ""best_val_auroc"": 0.8021171899390213, ""best_val_auprc"": 0.4486984326583736}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,prolonged_los,Late Fusion (Stacking LR on OOF preds),all,24h,74829,0.1616351949110639,0.8059789625025602,0.007097364804763589,0.44390854549160064,0.009484178788334689,0.814580370075045,0.4582110473191075,,"[{""fold"": 1, ""val_auroc"": 0.7965753306556314, ""val_auprc"": 0.43007572169131814, ""n_train_meta"": 47834, ""n_val_meta"": 11959}, {""fold"": 2, ""val_auroc"": 0.8096339037819931, ""val_auprc"": 0.4389399343519179, ""n_train_meta"": 47834, ""n_val_meta"": 11959}, {""fold"": 3, ""val_auroc"": 0.8174543378243486, ""val_auprc"": 0.4583845550682794, ""n_train_meta"": 47834, ""n_val_meta"": 11959}, {""fold"": 4, ""val_auroc"": 0.8041142066958645, ""val_auprc"": 0.44335053952299086, ""n_train_meta"": 47835, ""n_val_meta"": 11958}, {""fold"": 5, ""val_auroc"": 0.8021170335549627, ""val_auprc"": 0.44879197682349703, ""n_train_meta"": 47835, ""n_val_meta"": 11958}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
fusion,prolonged_los,Late Fusion (Alpha=1.0 Structured XGB) [clinicalbert],all,24h,74819,0.1616434328178671,0.8054960230270252,0.0063895514381609895,0.44661261357631704,0.013585770934021184,0.8143979133035699,0.46023383011824104,1.0,"[{""fold"": 1, ""val_auroc_alpha1"": 0.7974668074967951, ""val_auprc_alpha1"": 0.4287823487625294, ""val_auroc_alpha0"": 0.7736203444589981, ""val_auprc_alpha0"": 0.4219624785925886, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8152224858208321, ""best_val_auprc"": 0.4681545816877577}, {""fold"": 2, ""val_auroc_alpha1"": 0.806418021336413, ""val_auprc_alpha1"": 0.4327189073998629, ""val_auroc_alpha0"": 0.7918086851350045, ""val_auprc_alpha0"": 0.4277841787860307, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8277718026210975, ""best_val_auprc"": 0.48108806404187626}, {""fold"": 3, ""val_auroc_alpha1"": 0.8163350782055164, ""val_auprc_alpha1"": 0.46339223127337037, ""val_auroc_alpha0"": 0.7996034167494135, ""val_auprc_alpha0"": 0.4580971915145766, ""best_alpha"": 0.5, ""best_val_auroc"": 0.837198091882658, ""best_val_auprc"": 0.5151209700446797}, {""fold"": 4, ""val_auroc_alpha1"": 0.8063101255553602, ""val_auprc_alpha1"": 0.451027828743275, ""val_auroc_alpha0"": 0.7886648162160446, ""val_auprc_alpha0"": 0.42805675321264525, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8241748230133017, ""best_val_auprc"": 0.48988118701223665}, {""fold"": 5, ""val_auroc_alpha1"": 0.8009500825410416, ""val_auprc_alpha1"": 0.4571417517025475, ""val_auroc_alpha0"": 0.7822359119559441, ""val_auprc_alpha0"": 0.43282717287439815, ""best_alpha"": 0.5, ""best_val_auroc"": 0.8201615021405595, ""best_val_auprc"": 0.4945823774614605}]",42,"{""structured_features"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv"", ""episodes_dir"": ""${PROJECT_ROOT}/episodes/episodes_enhanced"", ""embeddings_file"": ""${PROJECT_ROOT}/data/processed/text_embeddings/clinical_bert_embeddings.npy"", ""embedding_stay_ids"": ""${PROJECT_ROOT}/data/processed/text_embeddings/embedding_stay_ids.csv""}"
