step,task,model,cohort,window,feature_set,description,n_samples,positive_rate,n_features,auroc_mean,auroc_std,auprc_mean,auprc_std,test_auroc,test_auprc,seed,input_paths
readmission,readmission_30d,LogisticRegression,all,24h,timeseries,仅时序,65899,0.2135540751756476,36,0.5604383191510863,0.0063658034012055,0.2494529991909884,0.0047438941064806,0.5599672917740517,0.2465006265456532,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,GradientBoosting,all,24h,timeseries,仅时序,65899,0.2135540751756476,36,0.5660798936457793,0.0095639308685985,0.2532994401828566,0.0070198063719225,0.5638736731341185,0.2524717439552505,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,LogisticRegression,all,24h,annotation,时序+标注,65899,0.2135540751756476,44,0.5682236019105583,0.0059619978336096,0.2535319910134493,0.0058240092160683,0.5680365382548078,0.2503463798569054,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,GradientBoosting,all,24h,annotation,时序+标注,65899,0.2135540751756476,44,0.5694938807903338,0.006858167184829,0.25509882704234,0.0057476382376719,0.5653280917938979,0.2525864798229018,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,LogisticRegression,all,24h,bert,时序+标注+BERT,65890,0.2135832448019426,94,0.5840648704134119,0.0076116043926713,0.2645859241317349,0.008218574445455,0.5775404667154577,0.2572717359754933,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,GradientBoosting,all,24h,bert,时序+标注+BERT,65890,0.2135832448019426,94,0.5762371884064005,0.0077185419021901,0.2576491482519754,0.0061383994523946,0.5763917463771625,0.2568146910848753,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,LogisticRegression,all,24h,concept,时序+标注+概念,65890,0.2135832448019426,96,0.5733511044163283,0.0050176005169392,0.2601981087190684,0.0061524504339527,0.5736636992827305,0.2524583097459789,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,GradientBoosting,all,24h,concept,时序+标注+概念,65890,0.2135832448019426,96,0.5787718443481582,0.0065085727907962,0.260577650985855,0.0046836869862837,0.5754452325262593,0.2534486269858688,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,LogisticRegression,all,24h,all,全特征融合,65890,0.2135832448019426,146,0.5866934038604262,0.0073743766242184,0.2677359857138758,0.008245899824144,0.5828052453748325,0.2577639628245447,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
readmission,readmission_30d,GradientBoosting,all,24h,all,全特征融合,65890,0.2135832448019426,146,0.5788904777752327,0.0073025029720933,0.2611711314200577,0.0069009815214327,0.5764306574261254,0.2557100860577727,42,"{""readmission_results_csv"": ""${PROJECT_ROOT}/results/readmission_baselines/readmission_results.csv""}"
