step,task,model,cohort,window,auroc_mean,auroc_std,auprc_mean,auprc_std,test_auroc,test_auprc,auroc_mean_std,auprc_mean_std,test_auroc_fmt,test_auprc_fmt,source_file
structured,mortality,LogisticRegression,all,6h,0.7797732446360895,0.0037111878427504,0.3495717128201581,0.0150958077708795,0.7794005394345853,0.3664277925857302,0.7798 +/- 0.0037,0.3496 +/- 0.0151,0.7794,0.3664,structured_results.csv
structured,mortality,XGBoost,all,6h,0.8011775440830924,0.0035904644708302,0.3771301540158904,0.0208186060598878,0.8046053914120566,0.4013143746367738,0.8012 +/- 0.0036,0.3771 +/- 0.0208,0.8046,0.4013,structured_results.csv
structured,mortality,LogisticRegression,sepsis,6h,0.7381649711705065,0.0078417495084067,0.3961111681630425,0.0160342424598727,0.7534880274262814,0.424279901708244,0.7382 +/- 0.0078,0.3961 +/- 0.0160,0.7535,0.4243,structured_results.csv
structured,mortality,XGBoost,sepsis,6h,0.7479677124610362,0.0076691884887532,0.4088221643591526,0.0064166468760317,0.7630318495047138,0.4343477312290398,0.7480 +/- 0.0077,0.4088 +/- 0.0064,0.7630,0.4343,structured_results.csv
structured,mortality,LogisticRegression,aki,6h,0.7669612747849758,0.0042376101499286,0.3806779569297798,0.0065568352177032,0.7583141496487064,0.363756011306551,0.7670 +/- 0.0042,0.3807 +/- 0.0066,0.7583,0.3638,structured_results.csv
structured,mortality,XGBoost,aki,6h,0.7850408236217776,0.0060426860137304,0.4085634663820572,0.0109404915935636,0.77750826676498,0.3871637909354876,0.7850 +/- 0.0060,0.4086 +/- 0.0109,0.7775,0.3872,structured_results.csv
structured,prolonged_los,LogisticRegression,all,6h,0.7079135879402816,0.0076139165069053,0.2951888779735817,0.0063669709965886,0.7072030264950365,0.2955397028414917,0.7079 +/- 0.0076,0.2952 +/- 0.0064,0.7072,0.2955,structured_results.csv
structured,prolonged_los,XGBoost,all,6h,0.7318269977784537,0.0061634443078459,0.3331640829853052,0.00786304138152,0.7314867791745767,0.3395729712385382,0.7318 +/- 0.0062,0.3332 +/- 0.0079,0.7315,0.3396,structured_results.csv
structured,prolonged_los,LogisticRegression,sepsis,6h,0.6954253447076835,0.0153342095271759,0.4024550859962739,0.0221254391584509,0.7037655954120846,0.4133541140919773,0.6954 +/- 0.0153,0.4025 +/- 0.0221,0.7038,0.4134,structured_results.csv
structured,prolonged_los,XGBoost,sepsis,6h,0.7172534851897165,0.0102028242494122,0.4397343463758016,0.0186656707197187,0.7206420360173388,0.4399892906682639,0.7173 +/- 0.0102,0.4397 +/- 0.0187,0.7206,0.4400,structured_results.csv
structured,prolonged_los,LogisticRegression,aki,6h,0.6891499315229774,0.0074837139589957,0.3331723027173545,0.0076181909807343,0.706762217477362,0.3528772979319572,0.6891 +/- 0.0075,0.3332 +/- 0.0076,0.7068,0.3529,structured_results.csv
structured,prolonged_los,XGBoost,aki,6h,0.7131405418947292,0.0017740284765041,0.3719129571727518,0.0087840029487113,0.7305946973806187,0.3949424133090892,0.7131 +/- 0.0018,0.3719 +/- 0.0088,0.7306,0.3949,structured_results.csv
structured,mortality,LogisticRegression,all,12h,0.8121988130773292,0.0030065266827219,0.3956754424702345,0.0130140686579197,0.8107704923585821,0.4127133250833707,0.8122 +/- 0.0030,0.3957 +/- 0.0130,0.8108,0.4127,structured_results.csv
structured,mortality,XGBoost,all,12h,0.8347988268711269,0.0039973772896971,0.4405483463381864,0.0130598650797038,0.8351121623748033,0.4580849315046255,0.8348 +/- 0.0040,0.4405 +/- 0.0131,0.8351,0.4581,structured_results.csv
structured,mortality,LogisticRegression,sepsis,12h,0.7668500382259145,0.0039991444450957,0.4402178191857465,0.013074044343152,0.7857582409817947,0.464650669727233,0.7669 +/- 0.0040,0.4402 +/- 0.0131,0.7858,0.4647,structured_results.csv
structured,mortality,XGBoost,sepsis,12h,0.7790866884724752,0.0076212534505235,0.4609819927058591,0.0057940600224054,0.8026894920301562,0.4987911473820887,0.7791 +/- 0.0076,0.4610 +/- 0.0058,0.8027,0.4988,structured_results.csv
