step,task,model,cohort,window,n_samples,positive_rate,auroc_mean,auroc_std,auprc_mean,auprc_std,test_auroc,test_auprc,seed,input_paths
structured,mortality,LogisticRegression,all,6h,74829,0.1193387590372716,0.7832974609982163,0.0012953419024982,0.3578022422907548,0.0120424433285634,0.7809080126699176,0.3645279950034533,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,all,6h,74829,0.1193387590372716,0.805191267455605,0.0035738175393212,0.3867141346884735,0.0193545250843401,0.8072213945890566,0.4072373873231903,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,sepsis,6h,34152,0.1816584680252986,0.7426693855375557,0.0076168512128941,0.4055161757704041,0.0134334228753031,0.7418348574027686,0.405634601081815,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,sepsis,6h,34152,0.1816584680252986,0.7491378105779268,0.0019718317825073,0.4159312458882261,0.0177605265678648,0.7541391440319161,0.4308618139884007,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,aki,6h,57263,0.1448055463388226,0.7686285980591065,0.0035876152770932,0.3810385872728186,0.0151805868626057,0.7662414800620407,0.3966036372745057,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,aki,6h,57263,0.1448055463388226,0.7831319041930562,0.0046796486538,0.3997972756936516,0.0191459206482162,0.7832791919043396,0.417836814548187,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,all,6h,74829,0.1616351949110639,0.7046866263339655,0.0038307549481239,0.3088587269696186,0.0101769981209157,0.7020281054584285,0.3038407685810406,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,all,6h,74829,0.1616351949110639,0.725584360133058,0.0048803999502705,0.3378369113346117,0.0101510900199278,0.727294524354724,0.3351502249717987,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,sepsis,6h,34152,0.2585792925743734,0.6756982890382298,0.0083058413673465,0.396563349089524,0.0096467552205685,0.6748526762355289,0.3974739609214934,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,sepsis,6h,34152,0.2585792925743734,0.6971251563645071,0.0047420862766977,0.4285666998760907,0.0136075059245942,0.6969723797770306,0.4371431941807311,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,aki,6h,57263,0.2037615912543876,0.6839204090098437,0.0059026044223068,0.3419151606955318,0.0108071041265225,0.6818486664171012,0.340363292212858,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,aki,6h,57263,0.2037615912543876,0.7034387545262353,0.0051981372057931,0.3703466342472496,0.0090049480445242,0.7018872877550864,0.3682503159190026,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_6h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,all,12h,74829,0.1193387590372716,0.817662448331643,0.0027915491742599,0.4086177474492974,0.0121581990763645,0.8130383420728209,0.4256790264973764,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,all,12h,74829,0.1193387590372716,0.8385412128551882,0.0052014240946099,0.4467971814995198,0.0154730929431036,0.83478031232518,0.460178937344513,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,sepsis,12h,34152,0.1816584680252986,0.7748669066193373,0.0055082114455324,0.4514798948537527,0.0109925867149026,0.7754264735499842,0.4675853746398717,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,sepsis,12h,34152,0.1816584680252986,0.7870643057728639,0.0038868732853906,0.4735605769087285,0.0180004332707343,0.7841167525440759,0.4807389271495451,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,aki,12h,57263,0.1448055463388226,0.8002358941726943,0.002812708893491,0.4272516976664166,0.0144032538860771,0.7982817828666834,0.4487714941449705,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,aki,12h,57263,0.1448055463388226,0.8188338038981466,0.00509735676913,0.4627821236392985,0.0172467278183878,0.8156194119404825,0.4724614669029265,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,all,12h,74829,0.1616351949110639,0.7461982882940094,0.0055555513765591,0.3524902389017513,0.0143523270906353,0.7524068884662374,0.3569182607832174,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,all,12h,74829,0.1616351949110639,0.7619688853856839,0.0066761333562536,0.3796443679963842,0.0121058922168451,0.7702117218738748,0.3900296515474437,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,sepsis,12h,34152,0.2585792925743734,0.7140645025787826,0.0104786821764097,0.4408763121124709,0.0154636005608555,0.7183785919463518,0.4478949479164709,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,sepsis,12h,34152,0.2585792925743734,0.7336046084812768,0.0105674600797646,0.4692471983814075,0.0114308452044431,0.7431182079119089,0.4919904187137607,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,aki,12h,57263,0.2037615912543876,0.7235746239369364,0.0073405145040715,0.3846655894367122,0.0148488053178522,0.7278640187122793,0.3950983556010067,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,aki,12h,57263,0.2037615912543876,0.7407618627755055,0.0073836003557754,0.412458418597842,0.0116381954612795,0.7477153059316417,0.4245964184034224,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_12h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,all,24h,74829,0.1193387590372716,0.8517273408994577,0.0024326988282021,0.4869899469729762,0.0081998171933346,0.8481335023167803,0.5076208657660446,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,all,24h,74829,0.1193387590372716,0.8678614831513987,0.0049187819455647,0.523640870560766,0.0079287500958452,0.8677155359228138,0.5413998521543871,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,sepsis,24h,34152,0.1816584680252986,0.8094952368560555,0.0019001300714968,0.5174414521494637,0.0090904994660411,0.8036593789671629,0.5308810860273764,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,sepsis,24h,34152,0.1816584680252986,0.8207248603760509,0.0060308135259603,0.5451301125201458,0.0173016812264404,0.8218179534700584,0.5546761946349437,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,LogisticRegression,aki,24h,57263,0.1448055463388226,0.8342894910566759,0.0018747391277671,0.5024687284688949,0.0124888537297136,0.8337461876686794,0.5268438902093718,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,mortality,XGBoost,aki,24h,57263,0.1448055463388226,0.8489219170358713,0.0036454643127694,0.5357694773630612,0.0077877249554475,0.8490971948830568,0.5519865674381416,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,all,24h,74829,0.1616351949110639,0.7888225757707257,0.0053061722894209,0.4093687233431552,0.0129842758715802,0.796610008346353,0.421889024565422,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,all,24h,74829,0.1616351949110639,0.8058700223460274,0.0062953092736601,0.4468251968400217,0.0104377978688866,0.8145187803901667,0.4604462745844814,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,sepsis,24h,34152,0.2585792925743734,0.7567877532659569,0.0096845364390592,0.4920327077826544,0.0141929062713338,0.763843399758058,0.5104436209827431,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,sepsis,24h,34152,0.2585792925743734,0.7794339919660924,0.0097658848366419,0.5282936322495478,0.0166497629607363,0.7814191177768532,0.5421338411726822,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,LogisticRegression,aki,24h,57263,0.2037615912543876,0.7652565774886633,0.0065724331977517,0.4391667051505169,0.0140111849070813,0.7708205485973658,0.4533940364076413,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
structured,prolonged_los,XGBoost,aki,24h,57263,0.2037615912543876,0.7833179696861683,0.006912007256867,0.4753517888581105,0.0131638604474262,0.7888436643148241,0.481531396279622,42,"{""features_file"": ""${PROJECT_ROOT}/data/processed/data_windows/window_24h/features_aggregated.csv"", ""cohort_file"": ""${PROJECT_ROOT}/data/processed/merge_output/cohort_final_extended.csv""}"
